implementation_location_province,buyer_name,supplier_name,items_description,cost_per_unit_zar,items_quantity,order_amount_zar,"Any donations
 received from
 external funders/
 companies","The benefiairy targets and method of
 distribution"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Ecinue Lebam solution,Wet WIPES,684.25,188,128639.00,"Sanitize 700L from
 Sasol","Transport Admin and Licensing distributed to all
 licensing offices"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Ecinue Lebam solution,MARKING TAPES,897.00,445,399165.00,,"Transport Admin and Licensing distributed to all
 licensing offices"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Ecinue Lebam solution,PAINT SPRAY,287.50,100,28750.00,,"Transport Admin and Licensing distributed to all
 licensing offices"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Sanitiser 500ml,150.00,2601,390150.00,,"Traffic Law Enforcement distributed to all
 regions"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Disposable  masks,48.00,2572,123456.00,,"Traffic Law Enforcement distributed to all
 regions"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Gloves,48.00,2605,125040.00,,"Traffic Law Enforcement distributed to all
 regions"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Sanitiser 1L,180.00,3000,540000.00,,"All Officials  distributed through Special
 programme"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Gloves,45.00,3000,135000.00,,"All Officials  distributed through Special
 programme"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Thermometers,2300.00,80,184000.00,,"All Officials  distributed through Special
 programme"
Mpumalanga,Mpumalanga Department of Community Safety Security and Liaison,Amukelani Okuhle Trading,Cloth mask,25.00,3000,75000.00,,"All Officials  distributed through Special
 programme"
