"Names of the
 Companies
 awarded",Product or services rendered,Unit Price,Quantity,"The full amount paid
 for the Products or
 services","Any donations
 received from
 external funders /
 companies",The beneficiary targets and method of distribution
MasontoÕs Business Enterprise,Hand Sanitisers,59,250,14750,Not Applicable,Distributed to Staff at All Offices
Mahlakuri Pythons Security,Face Masks,21.6,500,10800,Not Applicable,Distributed to Staff at All Offices
Sihlangu Semnikati Trading,Hand Sanitisers and disunfectants,48.87; 414.00,250;4,13874.75,Not Applicable,Distributed to Staff at All Offices Disinfectants for Cleaners
Mpumalanga Chemicals,Digital Thermometeres,972.63,19,18480,Not Applicable,Distributed to points of entrance
Mpumalanga NCRF Hub,"Radio broadcast related to
 Covid-19",Not Applicable,Not Applicable,23000,Not Applicable,Not Applicable
Oarabile JN Trading and Project,"Surface disinfectants 25 Liters
Face Shields
Individual Sanitisers",800.00;70.00;60.75,8;50;250,25087.5,Not Applicable,Distributed to Staff at All Offices
Realingrid General Trading,Foot Pump Sanitisers,1322.5,19,26182,Not Applicable,Awaiting Delivery
 Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"SAB
 1. 100 Food Parcels
 2. 100 Sanitizers
 3. 100 Mask
 4. 100 Blankets",All were donated in a Drop-in Centre in Hazyview
 Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"STANDARD BANK
 1. 100 Food Vouchers
 and will be distributed",To be distributed to Gert Sibande Informal Businesses
