implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),STENS WOMENS BUSINESS SERVICES,2181890.81
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),STIRA CONSTRUCTION AND PROJECTS,1388791.27
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),STORIZ INVESTMENTS (PTY) LTD,2172283.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SWAZILWAM TRADING (PTY) LTD,2428362.51
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TAKANA SOFT SOLUTIONS,1915950.59
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TAKE NOTE TRADING 8 CC,2221563.23
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TANAKA SOFT SOLUTIONS,1915954.59
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TEMBALABANTU SECURITY CLEANING AND GENERAL TRADING,1920633.28
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),THANDONELE INVESTMENT HOLDINGS,2263487.8
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),THE MOTIVE RALLY,2673443.95
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),THE QUEEN BEE,1202326
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),THEMBALETHU WORKWEAR (PTY) LTD,1920633.28
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),THOBA MKANGISA AND ASSOCIATES,1972898.93
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),THV LOGISTICS AND PROJECTS CC,2209092.07
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TOGU TRADING & PROJECTS,2299734.36
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TOP LEVEL PREMIER SERVICES,1650824.36
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TRACTION CIVILS GROUP,3460662.99
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),TSUNAMI CIVIL,2461552.88
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),UKUAKHA PROJECTS,1973334.46
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),UKUBONISANA TRADING AND PROJECTS CC,2294069.39
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),UNLOCKED CONSULTANTS PTY LTD,2175192.82
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),UPON MANY WATERS,1738628.32
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),USIMELWENATHI TRADING & PROJECTS,1151242.2
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),USINDISO TRANSPORT & PROJECTS,2678197.94
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),VAXOBYTE,1663257.25
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),VICTORY SIGN FARMING (PTY) LTD,2138506.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),VOKUL CONSULTING (PTY) LTD,2257457.85
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),VUCA SOLUTIONS,2162303.76
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),VUKA UGQAME GENERAL TRADING,2091604.63
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),WILLSKOSA (PTY) LTD,1848812.78
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),X COMMS,2513917.11
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),X-BUSINESS RESOURCES,2814980.92
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),YANDE ENGINEERING AND PROJECTS,1615408.09
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),YAYAM TRADING,2349527.17
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),YINATHI HOLDINGS,2415145.15
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),YOLO EMPIRE (PTY)LTD,2908492.82
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ZIMBELIMDAKA,1914634.75
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ZINABO TRADING ENTERPRISE,2229853.78
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ZINDLOVU GROUP (PTY) LTD,2116173.41
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ZKS PROJECTS,1647223.75
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ZONDIPHASE CONSULTING,3883739.2
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ZPK TRADING ENTERPRISE,1428875.07
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),A&S Suppliers,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Abantsundu Construction,12254641.8
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Abasemonti Constr,33750940
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Access Medical,311700
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Acid Prints,259870
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Africa Paper Manufacturers,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Akibar Trading and Projects,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Allenco Medical and Dental,465750
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Alphagen Health,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Aprowave,1932000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Arjo,1335955.2
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Asiphumeze Trading,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Avulunge Projects,1500000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Axim,1908624.32
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),B Braun,484210.8
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Barrs Pharmaceuticals,1829715
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Beloved Ventures,1526662.81
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Bhele-Boys Trading,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),BID Consultancy,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Boarder Hazmat,5750000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Bravo Africa Holdings,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Bravorox 119,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Buhlebezwe Enterprise,1130000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),BVM Logistics,104328
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Byxicel,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Camion Solutions,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Central Medical (Pty) Ltd,78080
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),CHRISTIAN INVESTMENT GROUP,1500000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Clarke Consultants,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Compass Waste,1474000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Conqua Industries,145312
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Cruden Waterproofing,2450000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),CRYPTOSPARK,29000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),C-Squared,640090
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Curopart (Pty) Ltd,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Dantonetix,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Dessert Rose,4875000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Dikha Trading,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Dimpho,2598770
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),DONDERIEN,496780
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),East Cape X-Ray,5380016.52
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),East Coast Medical,712596.7
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),ECOMED MEDICAL,4694087
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),EconoLab EC t/a Milu Trading,16000000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Emlanjeni,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Endomed Surgical and Supplies,499991.25
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Evergreen Latex,63559572
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),EXILITE 369,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),EXTRA DIMENSION,46486.45
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Eyman General Trading,1500000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ezamazizi Trading Enterprise,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Fabkomp (Pty) Ltd,10148750
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Falcolux,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Fresenius Kabi,3389475.6
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Gasuta Group,16900
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Go Enterprise,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),HEMOCUE SA,870624
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),HOSPITAL EQUIPMENT,1940568
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ibasathi Projects,1375000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),IBISM Trading Enterprice,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ice Breaker,37090739.92
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ikwezi Signs,76482
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ilinge Labantu Trading,8842516.52
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Imperial Health Solutions,18788000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),IN YOUR TANK PETROLEUM,29499.96
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Indlovu Manufacturers,6193010
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Inkosi Healthcare,276000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Investorex 28,35071182
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Jikijela Communication and Advert,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Jiyana Global Consulting & Trader,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Kaizen Print & Sign,134000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),KAYA MNANDI,53975
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Kempston Hire,232507.88
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Khanyasonke Communication,156000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Khanyisile Ngolwazi,5421635.06
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Khaya Engineering and Technology,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Koloni Consulting Enterprise,35579460
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),KOTSEDI MEDICAL,12535
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Lechoba Medical Technologies,600000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Leonel Projects,37056854.72
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Lethlakeng Trading&Projects,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),LFD Project,1442600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),LINDO LETHU,1999959
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Linn Business Solutions,63000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Linose Trading,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Lionbee Investments,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Liora Medical Supplies,916294.5
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),LLPW Consultants,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Logan Medical,5400135
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),LSS-Laundry Services &Supplies,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Lugaju Innovations,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),LUNGANI NDLEBE FAMILY TRUST,742386.8
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Luphawu,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Majodina Group,1340000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Malihlume,2125000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Mbasazwe Enterprise 10 CC,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Mbuso Medical,15395592.2
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),MDK Technology Solutions,3685000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Medical International Orthopaedic,90000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Medicare Technologies,265520
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Medicore,4732220
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Meditex,857600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Memarise Holdings,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),MEONDO,195000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Milwa Medical,2400300
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),MINUS 40,108721.94
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Mkhanzane Investment,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Mkhonto Wethu Trading,1172500
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Msi Technologies,2260000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),My Like General,7560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Nduna Events Management,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),NEW HORIZON METALS,2995975.66
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),NMU,560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ntshuza General Trading,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ntsikana ka Gabha,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),NUTIGEN,4003550
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Oshlanga,1390000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Pluribix,652179
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),PREMAX TRADING,22911
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Progress Medical,893000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Promed Technologies,2098970
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Prometheus Capital,1010000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Prudence,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Purple Sunshine Trading 70,1266250
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Quality Medical Supplies,5834000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Randilex Solutions (Pty) Ltd,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Royal Fotress Holding,916000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Safarmex,2881350.31
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Sagient Consulting Engineers,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),SALAISO SUPPLIERS,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Sanbonani,488500
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Sanoah Trading Enterprise,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),SBV Holdings,1130000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Screen Led,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Senred Enterprises,781590
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Sithi Shuffle Trading 144,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),SIYAKHANDA MEDCIAL,1694546
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Somlolo Group Investments,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Soul Fire Holdings,1594117.65
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Srarlif Trading 8,1362500
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),SSEM Mthembu,30852979.09
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Stiegelmeyer,2453111.45
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Stowie-m Trading,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Suprahealthcare,1111500
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),SWAZILWAM TRADING (PTY) LTD,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Tara Technologies,143276
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Tecmed Medical,1726048.11
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),TSEBO SOLUTIONS GROUP,5064575
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Tshila Mega Chemicals,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Tsivane Trading,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),TYEKS SECURITY SERVICES,493842.87
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Ubuqawuqawuli,1560000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Umhlaba Group,8272000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Umnombo Advisory,1130000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),UNCEDO TRANSPORT & BUSINESS,79120
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),UNICORE HOLDINGS,336574
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Uni-Life Investment Group,1350000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Unitrade 1032 CC,8350797
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),U-Rent,1188200
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Uthanda,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),UZZU16 TRADING,499985
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Valotype 248 t/a Vortex Health,1998900
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Vortex,3071562
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Vulindlela Media Housing,444061
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),W W Zenande,1510000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),WELCH ALLYN SA,1235312
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Worldfocus,1248000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),XV Civils,1517600
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Yema Ideas,2260000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Zamaswazi Group,2378000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Zanokhanyo,1793412.21
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Zencare Medical,5714000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Zondiphaze,3044000
Eastern Cape,Eastern Cape Department of Health (DOH),Department of Health (DOH),Zus Enterprise,7518214
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Adalindyebo,134950
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Amaza,110000
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Axab,510000
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Beloved Ventures,75000
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Carnation Delux Events,88999.8
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Ditsibi,99750
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Esonam  Printers,484000
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Ezasezantsi,152000
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Grandwood Tourism and Trading,61900
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),IC Bane,259500
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Jambisto,2570000
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Life Employee Health Solutions,279809.26
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Rietu,66250
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Rurban Creative,173500
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Siyolise Phawu,348381
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),T Birch and Company,209967
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Vapi Group,164268.1
Eastern Cape,Eastern Cape Department of Transport (DOT),Department of Transport (DOT),Zamaswazi,119000
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),,2734214.23
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),CHINYERE ENTERPRISES,57504.5
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),Eujona Fashions,28920.4
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),GOAVECT,495650
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),JD Strategic Investments,201902.05
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),KUUHLE TRADING ENTERPRISE,114000
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),Lechoba Medical Technologies,207848.15
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),LINLOS INVESTMENTS 4,546043.98
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),MULTISURGE,27600
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),NGUTA-MABE SOLUTIONS,217848
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),Nodoli Trading,21951
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),Rentokil Initial,11115.9
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),SIYAQALA SIYAGQIBA TRADING,12000
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),THE DENTAL WAREHOUSE,69089.6
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),TIME Clothing,277078.15
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),ULTRA GUARD CLEANING SOLUTIONS,331200
Eastern Cape,Eastern Cape Department of Public Works (DPW),Department of Public Works (DPW),Zanolutho Business enterprise,114462.5
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Dzana and Mfuphi Trading,45000
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),IBHAYA LAB,192580
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Intelligent Business Solution,21030
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Koko expert,12117.5
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Lolitha Construction & Projects,62220
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Nonis Business Hub (Pty) Ltd,45000
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Simamkele Security,26950
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Sobag Trading cc,15750
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),The middle man trading enterprise,2450
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),TOTAL LABS,35678.75
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),TP Mthyole (pty) Ltd,98100
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Vatosec (Pty) Ltd,61152
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Yeyomzi Trading,29950
Eastern Cape,Eastern Cape Department of Rural Development and Agrarian Reform (DRDAR),Department of Rural Development and Agrarian Reform (DRDAR),Zinolwazi Pty,81650
