implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BOARA CONSTRUCTION AND PROJECTS,3198985.06
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BOZIZI,2670882.79
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BRAVO AFRIKA HOLDINGS,1849731.71
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BUDEDE TRADING ENTERPRISE,2650520.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BUHLE RESEARCH AND DEVELOPMENT AGENCIES (PTY) LTD,3085532.28
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BUILTPRO CONSTRUCTION,1654758.82
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BULINDOS CONSULTING AND PROJECTS,2558171.23
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BUNCON GROUP (PTY) LTD,1978765.04
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BUYNAND CONSTRUCTION,2801100.77
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BVM LOGISTICS,3125537.89
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),BYXICEL (PTY) LTD,1989900.9
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),CHRISTIAN INVESTMENT GROUP,2451602.66
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),CHUMA HLANGA CONSTRUCTION,1727542.35
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),CTLS PROJECTS,4018347.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),CYCLE CIVILS AND PROJECTS (PTY) LTD,1895487.83
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DANTONETIX (PTY) LTD,4527981.95
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DARDYL TRADING,1886988.11
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),Devine Watch Security t/a SPARTAN,2473780.68
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DEVOPHASE (PTY) LTD t/a KLEEN-TECH HYGIENE SYSTEMS,1866615.16
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DGIT CONSULTING,2560591.77
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DIDUTEX (PTY) LTD,1918384.64
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DIKHA GENERAL TRADING,2323902.32
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DKH Solutions PTY LTD,1568535.15
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DK'S PROJECTS (PTY) (LTD),3309952.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DLUSH CONSTRUCTION,1464322
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DNA STRUCTURES,1904623.19
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),DON MASE PROJECTS,1706946.17
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),E&H PRINTERS C,1545853.68
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),EA SPORTS (PTY) LTD,3357448.05
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ECO CHEMICAL SOLUTIONS - MKHONTO WETHU,1613222.18
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),EL TRADING ENTERPRISES CC T/A AMATOLA AIR CONDITIONING,2366796.49
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),EVRAZ GENERAL TRADING,2054891.82
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),EXILITE 369,2222865.49
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),FALCOM INDUSTRY,2165248.88
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),FINGWA AND KHWESWA TRADING,2539308.86
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),FLIPSIDE TRADING (PTY) LTD,2071025.56
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),FRESH AND CLEAN LAUNDROMAT,2417554.58
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GAILFORCE TRADING,2840626.03
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GB IMMACULATE SOLUTIONS,2043481.09
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GCIE TRADING AND SUPPLIERS,2125043.85
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GILBERT CIVILS (PTY) LTD,2794339.32
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),GO ENTERPRISE COMPANY,1487134.55
