Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
OWP Free State,4/29/2020,MI Touto,Masks - Re-usable,R           20.00,35,R                               700.00,None
OWP Free State,4/29/2020,Ppppie Botha,Masks - Re-usable,R           20.00,26,R                               520.00,None
OWP Gauteng,3/17/2020,TNT Pest control,Masks,R           17.00,400,"R                            6,800.00",None
OWP Gauteng,3/17/2020,4M Chemicals,Hand Disinfectant 70% A,R           60.00,100,"R                            6,000.00",None
OWP Gauteng,3/17/2020,4M Chemicals,Gloves,R         150.00,20,"R                            3,000.00",None
OWP Gauteng,3/17/2020,4M Chemicals,Alcahol,,,,None
OWP Gauteng,3/17/2020,4M Chemicals,Antibacterial Surface,,,,None
OWP Gauteng,3/17/2020,4M Chemicals,cleaner 70% Alcohol,R         183.00,5,R                               915.00,None
OWP Head Office,5/11/2020,SHANEAL DISTRIBUTORS,INFRARED NON-CONTACT THERMOMETERS,,,"R                         63,000.00",None
OWP Head Office,6/9/2020,ROYAL TREAT TRADING,RE-USABLE FACE MASKS x 2000,,,"R                          45,800.00",None
OWP Head Office,6/12/2020,BLENDED OAKS,FOOT PEDAL HAND SANITIZER STAND - FREE STATE OFFICE,,,"R                            1,043.80",None
OWP Head Office,6/19/2020,DJ MONTOYA TRADING AND PROJECTS,"MULTI SANITIZERS FOR AIR, HAND AND SURFACE",,,"R                          37,647.00",None
OWP Kwazulu Natal,3/17/2020,Mediquick Pharmacy,Masks,R         775.00,10,"R                            7,750.00",None
OWP Kwazulu Natal,3/17/2020,Mediquick Pharmacy,Gloves - Medium,R         125.00,25,"R                            3,125.00",None
OWP Kwazulu Natal,3/17/2020,Mediquick Pharmacy,Gloves - Large,R         135.00,25,"R                            3,375.00",None
OWP Kwazulu Natal,3/17/2020,Mediquick Pharmacy,Hand Disinfectant,R         100.00,500,"R                          50,000.00",None
OWP Kwazulu Natal,3/19/2020,Industro-Clean Natal,Spray bottles 400 x 250ml,R           28.75,400,"R                          11,500.00",None
OWP Kwazulu Natal,3/19/2020,"Mediquick Pharmacy, Overport",Hand Sanitizer 1065 X 500ml bottles,"R      1,065.00","1,065","R                       106,500.00",None
OWP Kwazulu Natal,3/19/2020,Mediquick Pharmacy,Hand Disinfectant,R         100.00,"1,065","R                       106,500.00",None
OWP Kwazulu Natal,3/20/2020,Industro Clean,Spray Bottles,R           28.75,400,"R                          11,500.00",None
OWP Kwazulu Natal,3/23/2020,"Mediquick Pharmacy, Overport",Hand Sanitizer 1000 X 500ml bottles,R         100.00,1,"R                       100,000.00",None
OWP Kwazulu Natal,3/23/2020,Mediquick Pharmacy,Hand Disinfectant,R         100.00,1,"R                       100,000.00",None
OWP Kwazulu Natal,5/20/2020,Yaweh Civil & Gen,Face Mask - 3 Ply,R           38.00,114,"R                            4,332.00",No Branding on item
OWP Limpopo,3/20/2020,Jumbo Cash and Carry,DETTOLS,R           32.20,60,"R                            1,932.00",None
OWP Limpopo,3/20/2020,Jumbo Cash and Carry,SOAPS (LIFEBUOY),R             8 .91,240,"R                            2,138.40",None
OWP Limpopo,3/20/2020,Jumbo Cash and Carry,HAND WIPES,R           18.16,60,"R                            1,090.80",None
OWP Limpopo,3/20/2020,Jumbo Cash and Carry,JIK,R           20.33,120,"R                            2,439.60",None
OWP Limpopo,3/20/2020,Jumbo Cash and Carry,SUNLIGHT LIQUID,R           25.55,120,"R                            3,066.00",None
OWP Limpopo,3/20/2020,HAWKERS CITY,GLOVES,R           45.00,10,R                               450.00,None
OWP Limpopo,3/20/2020,HAWKERS CITY,MASKS,R           34.99,30,"R                            1,049.70",None
OWP Limpopo,3/20/2020,HAWKERS CITY,SPRAY BOTTLES,R           19.99,20,R                               399.80,None
OWP Limpopo,3/20/2020,HYCHEM,SPRAY BOTTLES,R           28.06,20,R                               441.20,None
OWP Limpopo,5/6/2020,JILOMI EXPRESS PRINTERS CC,FACE MASKS,R           35.00,142,"R                            4,900.00",NONE
OWP Mpumalanga,3/17/2020,MACARENA CASH AND CARRY,GLOVES EXAMINATION,R         100.00,3,R                               340.00,None
OWP Mpumalanga,3/18/2020,OVERALL AND GENERAL,GLOVES EXAMINATION,R         172.50,7,"R                            1,207.50",None
OWP Mpumalanga,3/18/2020,CASHBUILD,MASKS,R           69.95,4,R                               279.80,None
OWP Nortern Cape,1/4/2020,Razaanah Toffar,Hand Sanitizers 5l,R         650.00,5 bottles,"R                            3,250.00",None
OWP Nortern Cape,3/18/2020,Dis-Chem Kimberley Pharmacy,Hand Sanitizers,R           29.95,6 bottles,R                               179.70,None
OWP Nortern Cape,3/18/2020,Libra Pharmacy,A/Clin Gloves PWD 100 M,R         107.95,2 boxes,R                               215.90,None
OWP Nortern Cape,3/18/2020,Libra Pharmacy,A/Clin Gloves Nitrile Small,R         148.95,1 box,R                               148.95,None
OWP Nortern Cape,3/25/2020,ACL Supplies,Latex Gloves Powder Free,R         120.00,10 boxes,"R                            1,200.00",None
OWP Nortern Cape,3/25/2020,ACL Supplies,Surgical Face Masks,"R      2,000.00",2 boxes,"R                            4,000.00",None
OWP Nortern Cape,3/25/2020,ACL Supplies,Alcohol Hand Sanitizers 5l,R         780.00,20 bottles,"R                         15,600.00",None
OWP Nortern Cape,4/29/2020,KC's Kimberley Clothing,Material Face Masks,R           25.00,42 masks,"R                            1,050.00",None
OWP North West,4/30/2020,Pienk Pilletjies,Masks - re-useable,R           25.00,80,"R                            2,000.00",None
OWP Western Cape,4/9/2020,AFRICAN BRANDS TRADING,3PLY SURGICAL FACE MASKS,R           28.00,200,"R                            5,600.00",None
OWP Western Cape,4/16/2020,PICK AND PAY,CLOTH FACIAL MASKS,R           20.00,200,"R                            4,000.00",None
