Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Limpopo,3/20/2020,CHARMERS,LH GKOVES BLUE BOX,R         100.00,2,R                               200.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 20L,R           32.00,1,R                                 32.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,MEASURING JUG 600ML,R           19.00,1,R                                 19.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 2.5L,R             8 .50,1,R                                   8.50,None
DPP Limpopo,3/20/2020,CLICKS PHARMACY POLOKWANE,FIRST AID MASK,R           10.99,4,R                                 43.96,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DISHWASHER 2L,R           19.99,1,R                                 19.99,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DETTOL 250ML,R           45.00,1,R                                 45.00,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,BLEACH 750ML,R           23.97,1,R                                 23.97,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,SPRAY BOTTLE,R           13.99,2,R                                 27.98,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,R           24.99,1,R                                 24.99,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,R         130.00,1,R                               130.00,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,R           20.00,3,R                                 60.00,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,DETTOL 250ML,R           45.00,1,R                                 45.00,None
DPP Limpopo,3/24/2020,CHARMERS,LH GKOVES BLUE BOX,R         120.00,10,"R                            1,200.00",None
DPP Limpopo,3/24/2020,OSBRO CASH & CARRY (PTY) LTD PLK,Spray bottles  50ml (CLEANING KIT),R             5 .00,200,"R                            1,000.00",None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,BLEACH 5L LIMI,R           19.99,2,R                                 39.98,None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,DISHWASHER 2L,R           19.99,1,R                                 19.99,None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,R           24.99,2,R                                 49.98,None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,DISHWASHER 5L,R           49.99,2,R                                 99.98,None
DPP Limpopo,3/25/2020,PICK N PAY,LARGE CARRIER BAG,R             0 .60,3,R                                   1.80,None
