Name of Supplier / Service Provider,Commodity / Description of Services,"Order Amount/Rate per room
 (quarantine accommodation)"
Kol Logistics,"Decontamination of Thabo Mofutsanyane
 District",155194
Kol Logistics,Decontamination of Xariep District,62947
Kwachungwa Trading,Cleaning magistrate Court: Lusikisiki,73880
Kwelakithi General Trading,"Emergency Procurement Delegation.
 Estimated Cost",43000
Kwelakithi General Trading,"Emergency Procurement Delegation: One
 Quotation",81990
Labstyres (pty)ltd,"Building Infrastructure Services, Salvokop
 Quarantine site",1333348
Lathi Holdings,Masks N95,352800
Lathi Holdings,Non-sterile gloves,280000
Lehumo development,Cleaning services during COVID-19,118475
Lehumo development,Cleaning services during COVID-19,93083
Lehumo development,Cleaning services during COVID-19,245398
LENYAKI,"Brandfort Magistrate Office: Service for April
 2020",10000
LENYAKI,"Brandfort Magistrate Office: Service for JULY
 2020",10000
LENYAKI,"Brandfort Magistrate Office: Service for JUNE
 2020",10000
LENYAKI,"Brandfort Magistrate Office: Service for MAY
 2020",10000
Lera M Trading,Window blinds for sickbay,13365
Lesedi Thabang,Safety face shield,7336
Lesibana Cleaning,Cleaning services @ Soshanguve Court,18400
Lesibana Cleaning,Cleaning services @ Soshanguve Court,36800
Lesibana Cleaning,Deep Cleaning at Centre Walk,121030
Letlolo Cleaning Service,"Rendering of Additional Cleaning Service  -
 Warrenton Magistrate Office",8400
Letlolo Cleaning Service,"Rendering of Additional Cleaning Service -
 Kimberley Magistrate Office",30240
Letsepe Medical Supplier,"Pillow covers, First aid kit, Flat sheets,
 Stretcher",31907
LFN projects,Cleaning services @ Pta High Court,13000
Libimayasi (PTY) Ltd,"DBN RO: Decontamination of state cars
 (Phakisa)",6400
Longile Projects,Cleaning services @ CGO Building,153225
Longile Projects,Cleaning services @ Commercial Crime Court,653666
Longile Projects,Cleaning services @ Commercial Crime Court,65364
Loresa Management Services,Furniture,322041
Loresa Management Services,"furniture and soft furnishing @ SAPS College
 Hospital Pretoria West",322041
Loziflex (Pty) Ltd,Cleaning Services Brits,72853
Loziflex (Pty) Ltd,Decontamination of state property Group 4,18
Ludonga Lukamavuso Projects,Supply Of Cloth Face Mask For NDPWI,146200
Lumoss Moldings (pty) Ltd,Bottle Pumps for Pool Vehicles in Head Office,1009
LUNYAWENI TRADING,Cleaning Magistrate courts: Libode,21875
LUNYAWENI TRADING,Cleaning Magistrate courts: Libode,16000
LUNYAWENI TRADING,Cleaning Magistrate courts: Ngqeleni,21375
LUNYAWENI TRADING,Cleaning Magistrate courts: Ngqeleni,15900
Maganeleni Trading,"Deep cleaning  Magistrate office: Gert Sibande
 cluster 1",111745
Mairaduka Trading PTY LTD,"Deep cleaning  Magistrate office: Gert Sibande
 cluster 3",117806
Makumalou,"Justice Various Magistrate Courts: EThekwini
 District Municipality Decontamination of
 facilities",1878831
MALEBOGO LEGACY,"Jacobsdal Magistrate Office: Service for April
 2020",7500
MALEBOGO LEGACY,"Jacobsdal Magistrate Office: Service for MAY
 2020",7500
Malose and Neo Trading Enterprise,"Provision of cleaning services at Vosloorus,
 Heidelberg and Benoni Magistrate Courts
 (JHBE19/282)",117697
Malose and Neo Trading Enterprise,"Provision of cleaning services at Vosloorus,
 Heidelberg and Benoni Magistrate Courts
 (JHBE19/282)",185292
Malose and Neo Trading Enterprise,"Provision of cleaning services at Vosloorus,
 Heidelberg and Benoni Magistrate Courts
 (JHBE20/024)",429898
Mambathane Trading,"Emergency Procurement Delegation: One
 Quotation",11439
Mamulo Trading,"Provision of cleaning services at Carltonville,
 Westonaria and Khutsong Magistrate Courts
 (JHB19/273)",53418
Mamulo Trading,"Provision of cleaning services at Carltonville,
 Westonaria and Khutsong Magistrate Courts
 (JHB19/273)",65683
Mamulo Trading,"Provision of cleaning services at Carltonville,
 Westonaria and Khutsong Magistrate Courts
 (JHBE 20/015)",170325
Manceda Projects and Trading,"Justice Various Magistrate Courts: Zululand
 District Municipality Decontamination of
 facilities",1742983
Mannah Guest House - JHB,Accommodation: Quarantine Site,1120
Manxiwa Group Cc,Denomination / Deep Cleaning  Disinfection,80248
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",62970
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",63644
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",138116
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",81380
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",55142
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",94160
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",87883
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",63641
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",31080
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",55971
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",95239
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",66865
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",79692
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",59599
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",53754
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",63724
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",31475
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",89325
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",63408
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",56297
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",64777
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",77631
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",62608
Manxiwa Group Cc,"Decontamination / Deep Cleaning &
 Disinfection",94895
Maotwanafinyela Trading,Cleaning services @ Atteridgeville Court,98600
Maqolo Mobile Hiring,Hiring Toilets (for three sites,145600
Maribelo,Catering,409216
Mashadi Projects,Cleaning services @ Cullinan Court,450004
MASI WORKWEAR,Transversal Contract:,105708
Masibaseni Projects,"Deep cleaning  Magistrate office: Gert Sibande
 cluster 2",93003
Matebello Cleaning,Decontamination at PTA Magistrate Court,248490
Mayadi Trading,"Emergency Procurement Delegation with 1
 Quotes obtained.",13607
Mayadi Trading,"Emergency Procurement Delegation with 1
 Quotes obtained.",26060
Mazortoquer,"Emergency Procurement Delegation with 3
 Quotes obtained.",179900
Mazortoquer,"Emergency Procurement Delegation with 3
 Quotes obtained.",6539
Mazortoquer,Emergency Process,29800
MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Butterworth,34050
MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Ngcobo,22950
MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Ngcobo,12960
MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Tsomo,21550
MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Tsomo,11880
MBEMBE CONSTRUCTION,Cleaning Magistrate courts: Tsomo,18900
Mdusama Trading,Decontamination of state property Group 5,18
mega works trading,Cleaning services,25090
mega works trading,Cleaning services,12255
Mercure Hotels,Accommodation: Quarantine sites,1050
"Mercure Hotels South Africa –
 Bedfordview",Accommodation: Quarantine Site,1208
"Mercure Hotels South Africa –
 Midrand",Accommodation: Quarantine Site,1093
Mercure Premier Hotel Nelspruit,Accommodation: Quarantine Site,1208
Metrox Enterprise,Cleaning contracts – Lockdown,34500
Metrox Enterprise,Decontamination of Dept Justice Area 9,44300
Metsi Matso Lodge,Accommodation: Quarantine Site,1050
MEZINOX,"Bloemfontein Family Advocate: Service for
 April 2020",14500
MEZINOX,"Bloemfontein Family Advocate: Service for
 JULY 2020",14500
MEZINOX,"Bloemfontein Family Advocate: Service for
 JUNE 2020",14500
MEZINOX,"Bloemfontein Family Advocate: Service for
 MAY 2020",14500
"MFUNDISO SECURITY & TRAINING
 SERVICES","Cleaning Magistrate courts: Bizana and
 Flagstaff",23793
"MFUNDISO SECURITY & TRAINING
 SERVICES","Cleaning Magistrate courts: Bizana and
 Flagstaff",22618
Mfuyase Trading,"Deep cleaning  Magistrate office: Nkangala
 Cluster 3",165033
Miliswam Projects,Cleaning services @ Palace of Justice,99500
Miliswam Projects,Cleaning services @ Palace of Justice,199000
"Military Surplus Stores t/a Army
 Surplus Stores",Furniture and Linen @ Salvokop,422863
MJ Supplies and Genreral Trading,Antibacterial Handwash,14940
MLA Consortia,Decontamination at CGO Building,914147
Mmetla Trading,Daily cleaning at the Salu Building,389620
MMG Consulting and Projects,"Cluster 5 Courts: Cleaning and
 Decontamination",52715
MNNR & Olwethu,"Cleaning services @ NPA offices, 28 Church
 Square",162001
Moche Qoma Construction,Cleaning Services Zeerust,33400
Moesedi Trading,Decontamination at Rietondale Workshop,195572
MOLLELWA GENERAL TRADING,"Clocolan Magistrate Office: Service for April
 2020",4952
MOLLELWA GENERAL TRADING,"Clocolan Magistrate Office: Service for MAY
 2020",4952
Monotwane Distribution,Daily cleaning at the AVN Building,90928
Monte Bello Estate – Free State,Accommodation: Quarantine Site,1150
Mosegodimpo,"Decontamination at Mamelodi Magistrate
 Court",118974
Moselatisetso Holdings,"Cluster 3 Courts: Cleaning and
 Decontamination - Jankempdorp, Windsorton
 and Pampierstad",57846
Mostert Pest Control,"Cleaning and Decontaminating Louisvale DPWI
 Office and SANDF water",15450
Mostert Pest Control,"Cleaning and Decontaminating SANDF water
 and sewerage- Dee aar",6250
Moteki Projects and Consultants,"Decontamination for 17 July ( 4254m2 @ R
 4.50 p/m2)",19143
Moteki Projects and Consultants,"Edenburg, 9 Piet Retief str",8000
Mothape Events and projects,Materials to repair ablution facilities.,20061
MST Capital projects,deep cleaning at Hatfield Magistrate Court,75400
Mtshongo Q Supplies,"Decontamination / Deep Cleaning &
 Disinfection",37629
Munaca Technologies,"Mechanical Services, ( HVAC)Salvokop
 Quarantine site",168314
"Musina Hotel and Conference
 Facility",Accommodation: Quarantine site,1050
"Musina Hotel and Conference
 Facility",Accommodation: Quarantine Site,1050
Naledi Chemicals,Gloves to be used by officials,627
Naledi Chemicals,Gloves to be used by officials,2000
Naledi Chemicals,"Purchase of hard surface disinfectant
 detergent concentrate",17120
National Pest Control,DBN RO: Decontamination of DPW facilities,60000
National Pest Control,"Justice Various Leased Buildings:
 Decontamination of facilities to prevent  and
 combat the spread of Covid-19",651746
NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Qumbu,21000
NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Qumbu,18000
NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Tsolo,18900
NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Tsolo,15000
NAXA TRADING (PTY) LTD,Cleaning Magistrate courts: Tsolo,18095
Ndamu General Dealer,Cleaning services,22386
Ndamu General dealer,Cleaning services,11770
nemarundzi trading,"Deep cleaning, disinfection and sanitizing at
 Center Walk",69730
Netcom Trading,"Deep cleaning  Magistrate office: Gert Sibande
 cluster 5",124052
New Tulbagh Hotel,Accommodation: Quarantine Site,950
Nienear Construction,Cloth Face Masks,24955
Nikki Clothing Qaaf Enterprises,Masks to be used by officials,2000
Nkori supply and Distributors,Cleaning services,15204
Nosino Projects,"Durban Regional Office: Physical Barriers and
 Goods",196000
Nthangeni Holding,"Purchase And Delivery Of Equipment For The
 Sick Bay For NDPW",280496
NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Bizana,28000
NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Flagstaff,25000
NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Lusikisiki,28000
NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Lusikisiki,21000
NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Port St Johns,22000
NTSHONGO Q SUPPLIERS,Cleaning Magistrate courts: Port St Johns,17000
"Ntsu Ya Motsofe Trading
 Enterprise",Cleaning Services Wolmaranstad,34428
O Nthuse Hle Trading & Projects,"Hertzogville, 39 van Niekerk str",7960
Odirile IT Holdings,IT Server infrastructure,4989868
"Okgaoditswe Transport Supply and
 Other Projects",Cleaning Services Potchefstroom,54900
Omogolo Trading,Cleaning Services Rustenburg,77568
Onele Construction and Cleaning,Automatic Sensor Dispenser 1l sanitizer refills,27200
Onele Construction and Cleaning,"Automatic sensor dispenser sanitizer holders
 (mounted)",11378
Onele Construction and Cleaning,Hand spray containers 500ml,11666
Onele Construction and Cleaning,Paper wipe rolls,10000
Onhak,"Decontamination at Atteridgeville Magistrate
 Court",211020
Onkgopotse Enterprise,cleaning service @Momentum Building,68631
Onkgopotse Enterprise,Cleaning services @ Momentum Building (DOJ),553631
Opinionated Trading enterprise,Cleaning services,14521
Opinionated Trading enterprise,Cleaning services,15621
Osmans,PPE (Covid-19),2000
Paballo Christina Matsholo,"Hoopstad Magistrate Office: Service for April
 2020",6000
Paballo Christina Matsholo,"Hoopstad Magistrate Office: Service for MAY
 2020",6000
Park Inn  Radisson Foreshore,Accommodation: Quarantine Site,1233
Parsons Home Appliances,Batteries for head thermometer,1440
Party Holding Pty Ltd,"Emergency Procurement Delegation: One
 Quotation",16825
"Peermont Emperors Palace
 Metcourt Hotel",Accommodation: Quarantine Site,1200
"Peermont Emperors Palace
 Mondior Hotel",Accommodation: Quarantine Site,1380
Pefect Girlz,PPE,362877
Pefect Girlz,"Provision of sanitary services on a monthly
 basis for 12 months",994529
Pep Stores,Tinissa Microfibre swabs,2000
Perfect Girlz,"Provision of sanitary services on a monthly
 basis for 12 months",994529
Perm Projetcs,"supply and delivery of equipments for the Sick
 Bay",98169
"Perspex South Africa/ Plastic
 Concept",Emergency Procurement Delegation,47317
Phindelani Projects,Isolation rooms items,124853
Pick & Pay,Consumables for Temp Scanners,170
Pick & Pay,Batteries for scanners for Head Office,170
Pienaar Bros,Cloth masks,26337
Pika Chemical and Technology,Supply and delivery of surgical latex gloves,215250
Pitoza Trading,Decontamination PTA High Court,386203
Plan B Trolley Engineering,"First extension of Hiring (Supply and delivery
 of mobile toilets for 11days)",69288
Plan B Trolley Engineering,"Hiring (Supply and delivery of mobile toilets)
 for 3 days",9200
Plan B Trolley Engineering,Purchase of masks; gloves; sanitisers,270884
Plan B Trolley Engineering,"Second extension of Hiring (Supply and
 delivery of mobile toilets for 14 days)",97750
PMTN Aretsi,Cleaning services during COVID-19,94790
PMTN Aretsi,Cleaning services during COVID-19,74478
PMTN Aretsi,Cleaning services during COVID-19,135415
Praxos 215 CC,Cleaning services during COVID-19,207710
President Hotel - Bloemfontein,Accommodation: Quarantine Site,1150
President Hotel - Cape Town,Accommodation: Quarantine Site,1035
Profteam cc,"Beitbridge phase 1 borderline infrastructure
 and installation: Principal Agent",3259071
Pronto Kleen,Cleaning contracts - Lockdown,32122
Pronto Kleen,Cleaning contracts - Lockdown,34218
Pronto Kleen,Cleaning contracts - Lockdown,74764
Pronto Kleen,Cleaning contracts - Lockdown,74765
Protea Hotel Balalaika - JHB,Accommodation: Quarantine Site,1200
Protea Hotel Durbanville - CPT,Accommodation: Quarantine Site,950
Pully n Onolo Trading,"Rendering of Additional Cleaning Service  -
 Mothibistad Magistrate Court",7500
PVZ Security and Cleaning Services,Cleaning magistrate Court: Jamestown,59418
PVZ Security and Cleaning Services,Cleaning Magistrate courts  Jamestown,29555
PVZ Security and Cleaning Services,"Cleaning Magistrate courts Dordretch
 Jamestown",22545
PVZ Security and Cleaning Services,"Cleaning Magistrate courts Dordretch
 Jamestown",17244
PVZ Security and Cleaning Services,Cleaning Magistrate courts: Lady Frere,29555
PVZ Security and Cleaning Services,"Cleaning Magistrate courts: Lady Frere and
 Cala",23275
PVZ Security and Cleaning Services,"Cleaning Magistrate courts: Lady Frere and
 Cala",17244
PVZ Security and Cleaning Services,Cleaning Magistrate courts:Cala,29555
Radisson Blu - Gautrain,Accommodation: Quarantine Site,1000
"Radisson Blu Park Inn Newlands –
 Cape Town",Accommodation: Quarantine Site,1200
Radisson Red V & A Waterfront,Accommodation: Quarantine Site,1350
"Ramooseeka Mejeni Trading &
 Projects","Dealesville, 16 Skool str, 33 Meyer str",6800
Ranzo Holdings,"Reddersburg Magistrate Office: Service for
 April 2020",10000
Ranzo Holdings,"Reddersburg Magistrate Office: Service for
 MAY 2020",10000
Rassol Clean,Cleaning contracts - Lockdown,32778
Rassol Clean,Cleaning contracts - Lockdown,33477
Rassol Clean,Decontamination of Parliamentary Villages,211445
Relekane Guest House,Accommodation: Quarantine Site,1000
Rhafiso Trading,Cleaning Magistrate courts: Elliot,18500
Rhafiso Trading,Cleaning Magistrate courts: Elliot,17000
Rhafiso Trading,Cleaning Magistrate courts: Indwe,19800
Rhafiso Trading,Cleaning Magistrate courts: Indwe,18300
Rock Solutions Security Services,Cleaning Magistrate courts : Lusikisiki,22618
Rozdk Suppliers,Purchasing of 370 face shields,25900
S and S Group,"Deep cleaning  Magistrate office: Ehlanzeni
 cluster 4",85582
SA Fence and Gate (Pty) Ltd,Fencing : Salvokop Quarantine site,289075
SA Fence and Gate (Pty) Ltd,PTA West Quarantine Site ( fence),547485
Saint Georges Hotel,Accommodation: Quarantine Site,1150
Samcho cleaning,Cleaning contracts - Lockdown,12558
Samcho cleaning,Cleaning contracts - Lockdown,13489
Samcho cleaning,Cleaning contracts - Lockdown,15583
Samcho cleaning,Cleaning contracts - Lockdown,22701
Samcho cleaning,Cleaning contracts - Lockdown,27379
Samcho cleaning,Cleaning contracts - Lockdown,27379
Samcho cleaning,Cleaning contracts - Lockdown,38433
Samcho cleaning,Cleaning of court: Robertson & Laingsburg,27379
Samcho cleaning,Decontamination of Dept Justice Area 6,12558
Samcho cleaning,"Decontamination of various buildings for 6
 months",248400
Samjem Trading,Vrede Magistrate Office: Service for April 2020,5749
Samjem Trading,Vrede Magistrate Office: Service for MAY 2020,5749
Sanitec,2 x 10 block Berth showers,286488
Sanitec,2 x 10 block Berth showers,286488
Sanitec,2 x 10 block Berth showers,57270
Sanitec,"10 x toilets, 10x Berth shower and Services",374440
Sanitec,20 Bins,18975
Sanitec,"5 x toilets, 5x Berth shower and Services",66930
Sanitec,"Extra Hire ( Provision for supply and delivery of
 10 mobile toilets 10 Berth shower 11 days)",165683
Sanitec,"Hiring (supply and delivery of  Mobile Toilets
 and Berth Showers -Refugees accommodation
 for 5 days)",66930
Sanitec,"Hiring (Supply and delivery of Mobile Toilets
 and Bert Showers - Refugees accommodation
 for May)",171810
Sanitec,"Hiring (supply and delivery of sanitary bin 11
 days -Refugees accommodation)",18975
Sanitec,"Second extension of hiring- (Provision for
 supply and delivery of 10 mobile toilets for 14
 days)",374440
Scend Trading,Cleaning services @ PTA Magistrate Court,214419
Sdikadika and Projects PTY,"Rendering of Additional Cleaning Service  -
 Kuruman Magistrate Court",8000
Sebatsi,"Steynsrus Magistrate Office: Service for April
 2020",8280
Sebatsi,"Steynsrus Magistrate Office: Service for JULY
 2020",8280
Sebatsi,"Steynsrus Magistrate Office: Service for JUNE
 2020",8280
Sebatsi,"Steynsrus Magistrate Office: Service for MAY
 2020",8280
Sebenza Chem,25l Sanitazer,11900
Sekute Trading,"Marquard Magistrate Office: Service for April
 2020",12000
Sekute Trading,"Marquard Magistrate Office: Service for MAY
 2020",349059
Semi Clean,To be used by officials for vehicles,1200
Senzangakhona Trading,Cleaning services @ Bronkhorstspruit Court,75300
Senzangakhona Trading,Cleaning services @ Bronkhortspruit Court,753007
Senzangakhona Trading,Cleaning services @ Ekangala Court,496554
Senzangakhona Trading,Cleaning services @ Ekangala Court,49650
Servest(Pty)Ltd,"Decontamination of DPW Offices and
 Magistrate(Capricorn District)",293733
Servest(Pty)Ltd,"Decontamination of DPW Offices and
 Magistrate(Capricorn District)",293733
Servest(Pty)Ltd,"Decontamination of Magistrate( Sekhukhune
 District)",227149
Servest(Pty)Ltd,"Decontamination of Magistrate(Mopani
 District)",276673
Servest(Pty)Ltd,"Decontamination of Magistrate(Vhembe
 District)",398502
Servest(Pty)Ltd,"Decontamination of Magistrate(Waterburg
 District)",266255
Setlhos General,Cleaning Services Vryburg,38870
Shabba Man Trading,"Cluster 6 Courts: Cleaning and
 Decontamination of facilities",79066
Shine the way 649 CC,Purchase of 555 cloth face masks,13875
"Signature Lux Hotel Foreshore -
 CPT",Accommodation: Quarantine Site,790
Sikhanyisile Cleaning Ltd,"Provision of cleaning services at South
 Gauteng High Court (JHBE19/276)",112807
Sikhanyisile Cleaning Ltd,"Provision of cleaning services at South
 Gauteng High Court (JHBE19/276)",190034
Sikhanyisile Cleaning Ltd,"Provision of cleaning services at South
 Gauteng High Court (JHBE20/018)",190034
Sikhanyisile Cleaning Ltd,"Provision of cleaning services at South
 Gauteng High Court (JHBE20/018)",112807
Sikhanyisile Cleaning Ltd,"Provision of cleaning services at South
 Gauteng High Court (JHBE20/019)",820154
SIM & LIYA,Generator,16470
Six Sons (PTY) Ltd T/A Kloppers,Kettle and Heaters for Isolation areas,2000
Siyamthanda Trading,Deep Cleaning at AVN Building,243721
Siyamthanda Trading,"Purchase And Delivery Of Disposable Aprons
 For All Cleaning Staff",340000
Siyanqoba Grass Cutting,"Emergency Procurement Delegation.
 Estimated Cost",11424
SkitterBlink Cleaning Services,"Decontamination for 27 July (3101m2@R
 3.22p/m2",9985
Smartinss Agencies,"Emergency Procurement Delegation with 4
 Quotes obtained.",98693
Smartinss Agencies,"Emergency Procurement Delegation with 5
 Quotes obtained.",184289
Smartinss Agencies,"Emergency Procurement Delegation with 5
 Quotes obtained.",314701
South End Environmental Services,Cleaning contracts - Lockdown,185898
SPAR,"Purchase of Batteries for Temperature
 scanners @ CGO",134
SPS Creative Events,"Emergency Procurement Delegation: One
 Quotation",11700
St John,Supply of first aid kit,6222
Steiner Hygeine (PTY) LTD,"Hand Sanitisers and gloves to be used by
 officials",2000
Steiner Hygeine (PTY) LTD,Masks to be used by officials,2000
Steiner Hygeine (PTY) LTD,To decontaminate vehicles,966
Sthabiso Business Enterprise,PTA West Quarantine Site ( building),136388
Superfecta Trading 209,"Electrical services, Salvokop Quarantine site",229912
Supra Health Care,Powdered Gloves,14385
Tadala Projects,"Deep cleaning  Magistrate office: Ehlanzeni
 cluster 3",123642
Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE19/274)",96979
Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE19/274)",268381
Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE20/016)",198763
Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE20/016)",268381
Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE20/016)",96979
Thakwabless Trading,Rendering of Deep Cleaning at Momentum,495419
The reeds cleaning,"Deep cleaning  Magistrate office : Ehlanzeni
 cluster 5",136800
The reeds cleaning,"Deep cleaning NDPW Nelspruit  office :
 Ehlanzeni cluster 6",77400
The Terminator,"Emergency Procurement Delegation with 2
 Quotes obtained.",1998
Themihlase,"Justice Various Magistrate Courts:
 UMgungundlovu District Municipality:
 Decontamination of facilities",1877246
Thozama & Parents,"Emergency Procurement Delegation.
 Estimated Cost",18240
Tipp Focus Holdings,Network / Security specialist,2382800
Tjabele Pty Ltd,Cleaning services during COVID-19,154581
Tjabele Pty Ltd,Cleaning services during COVID-19,196740
Tjabele Pty Ltd,Cleaning services during COVID-19,295110
Tlhomamo Trading,Decontamination of MMB RO Dada Building,19840
Tlhomamo Trading,Decontamination of state property Group 2,203466
Tropical Eden Trading 164 cc,"Cleaning Magistrate courts: Maluti and
 Matatiele",34247
Tropical Eden Trading 164 cc,"Cleaning Magistrate courts: Maluti and
 Matatiele",31372
Tropical Eden Trading 164 cc,Cleaning Magistrate courts: MT FLETCHER,32206
Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,23149
Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,44190
Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,54628
Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,98735
Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,111112
Tshedik Investments,"Purchasing of 1 litre plastic trigger spray
 bottles",7204
Tshedik Investments,"Purchasing of 1 litre plastic trigger spray
 bottles",7204
Tshidime Trading,20 Mobile Toilets and 20 Sanitary Bins,89700
Tshidime Trading,"20 x toilets, 20 x Bins , Services and soap",89700
Tshidime Trading,Hiring of 2 x 10 Berth block showers,249300
Tshidime Trading,Hiring of 2 x 10 Berth block showers,203280
Tshidime Trading,Hiring of Toilets and Sanitary 20 Bins,97300
Tshidime Trading,Hiring of Toilets and Sanitary 20 Bins,89100
Tshidime Trading,Hiring of Toilets and Sanitary 20 Bins,14595
Tshidime Trading,Mobile Toilets and Sanitary 20 Bins,89700
Tshidime Trading,"Supply and delivery of 2X10 Berth Mobile
 Showers",274400
Tshimangi accommodation,Cleaning services,26764
Tshimangi accommodation,Cleaning services,12109
Tshimangi accommodation,Cleaning services,11695
Tshimangi accommodation,Cleaning services,14953
Tshimangi accommodation,Cleaning services,20478
"Tshwarella Ka Thata Trading and
 Projects 16","Ficksburg, 1 Kort Str",8500
Tsoela Development,Batho Magistrate Office: Service for April 2020,9556
Tsoela Development,Batho Magistrate Office: Service for JULY 2020,9556
Tsoela Development,Batho Magistrate Office: Service for June 2020,9556
Tsoela Development,Batho Magistrate Office: Service for MAY 2020,9556
Tsogo Sun - Garden Court Eastgate,Accommodation: Quarantine site,1050
Tsogo Sun - Garden Court Eastgate,Accommodation: Quarantine Site,1208
"Tsogo Sun - Garden Court
 Newlands",Accommodation: Quarantine site,1200
"Tsogo Sun - Garden Court
 Newlands Cape Town",Accommodation: Quarantine Site,1380
Tsogo Sun - Stay Easy,Accommodation: Quarantine Site,1093
Tsogo Sun - Stay Easy Eastgate,Accommodation: Quarantine site,950
"Tsogo Sun Garden Court Nelson
 Mandela Boulevard",Accommodation: Quarantine Site,1208
"Tsogo Sun Southern Sun
 Bloemfontein – Free State",Accommodation: Quarantine Site,1380
"Tsogo Sun Stay Easy Emnotweni
 Mpumulanga",Accommodation: Quarantine Site,1093
Tumii,"Supply and Maintenance Of Hands Free Foot
 Operated Hand Sanitizer At The Union
 Buildings",374718
Tuscany Guest Lodge – Free State,Accommodation: Quarantine Site,850
Unitrade 1032 cc,Durban Regional Office: Supply of PPE,446121
Vascopark Pty Ltd,Cleaning services during COVID-19,106309
Vascopark Pty Ltd,Cleaning services during COVID-19,135302
Vascopark Pty Ltd,Cleaning services during COVID-19,202953
Virus Guard,Decontamination of state property Group 1,18
Vital Life Medical (PTY) Ltd,"Dr. J.L. Dube House, Morningside, Durban:
 Supply of non contact infrared thermometers
 and sanitizers",5185
VOLPES,"Bed Linen (Sheet cover, pillow, bed throw,
 matteress)",2430
VT Maphanga,"Deep cleaning  Magistrate office: Nkangala
 Cluster 2",99429
Vukela Security and Cleaning,Cleaning Magistrate courts: Cofimvaba,30000
Vukeza Cleaning and Security,Cleaning Magistrate Courts : Cofimvaba,28800
Vukeza Cleaning and Security,Cleaning Magistrate courts: Elliot,16700
Vukeza Cleaning and Security,Cleaning Magistrate courts: Indwe,16700
Vuyani Goodman Sishuba,Hiring of 2x10 Berth Shower Mobile,196000
Waco Africa,Provision of Showers and Toilets,372278
