Supplier Name,Director Name,Director Surname,Company Registration,CSD Supplier  Number,Location,District,Departme,tOrder Price,
"BOARA CONSTRUCTION AND
PROJECTS",AYANDA,BOTI,2013/176578/07,MAAA0325137,Eastern Cape,Chris Hani,DOE,3198985.06,
RUTISYNC (PTY) LTD,Nosipho,Dyokomba,2019/032117/07,MAAA0773004,Eastern Cape,Buffalo City,DOE,3182602.94,
"AFRIKA RISE INVESTMENTS
(PTY) LTD",Sabuka Isaac,Myalezwa,2015/303479/07,MAAA0170758,Eastern Cape,OR Tambo,DOE,3175212.99,
MTAWELANGA TRADING,Moeketsi,Ntsike,2009/066177/23,MAAA0303005,Eastern Cape,Nelson Mandela Bay,DOE,3160567.00,
BVM LOGISTICS,mziwethu,sanda,2014/038141/07,MAAA0185709,Eastern Cape,Buffalo City,DOE,3125537.89,
BAA TRADING ENTERPRISE CC,SIMBONGILE,ZUKULU,2015/203292/07,MAAA0348850,Eastern Cape,OR Tambo,DOE,3090165.58,
MAFINCELA TRADING,NYANISO,JINJA,2018/042000/07,MAAA0654128,Eastern Cape,OR Tambo,DOE,3087825.11,
"BUHLE RESEARCH AND
DEVELOPMENT AGENCIES
(PTY) LTD",NOSISA,ABRAHAM,2013/101594/07,MAAA0500521,Eastern Cape,Buffalo City,DOE,3085532.28,
Zondiphaze,Clive,Lingham,2014/172473/07,MAAA0390638,Eastern Cape,Nelson Mandela Bay,DOH,3044000.00,
ARISE CONSULTING (PTY) LTD,Grace Nomhle,Ncayo,2019/047266/07,MAAA0744594,Eastern Cape,Nelson Mandela,DOE,2966285.66,
"KWANTANJANA TRADINGS
(PTY) LTD",SIZWE,NTANJANA,2017/331133/07,MAAA0556629,Eastern Cape,Nelson Mandela Bay,DOE,2958180.78,
AWO LITA TRADING,Ncumisa,Mvuzo,2013/140650/07,MAAA0531014,Eastern Cape,OR Tambo,DOE,2913977.40,
YOLO EMPIRE (PTY)LTD,Lulama,Jakavula,2020/158266/07,MAAA0910920,Eastern Cape,Chris Hani,DOE,2908492.82,
KBT Holdings Pty Ltd,Byron,Johnson,2007/008347/07,MAAA0002745,Eastern Cape,Chris Hani,DOE,2882706.06,
KOL LOGISTICS,Lemarco,Mitchell,2015/219367/07,MAAA0400377,Eastern Cape,Nelson Mandela Bay,DOE,2847352.16,
GAILFORCE TRADING,Ayanda Lennox,Matiti,2008/019891/23,MAAA0078076,Eastern Cape,OR Tambo,DOE,2840626.03,
"ABSOLUTE VISION TRADING
ENTERPRISE CC",kholiswa,mjo,2007/155971/23,MAAA0007346,Eastern Cape,Buffalo City,DOE,2828722.84,
X-BUSINESS RESOURCES,Nox,Dyantyi,2013/060845/07,MAAA0009139,Eastern Cape,Sarah Baartman,DOE,2814980.92,
BUYNAND CONSTRUCTION,NANDE,KAYISE,2010/011845/23,MAAA0234708,Eastern Cape,Joe Gqabi,DOE,2801100.77,
GILBERT CIVILS (PTY) LTD,Anelisa,Mntuyedwa,2014/025498/07,MAAA0019602,Eastern Cape,Buffalo City,DOE,2794339.32,
ALINANI TRADING,Sinazo,Mgwangqa,2018/038220/07,MAAA0612525,Eastern Cape,Nelson Mandela Bay,DOE,2785275.80,
"MLP HOSPITALITY SERVICES
(PTY) LTD",nomapelo,Pantshwa,2013/093280/07,MAAA0778195,Eastern Cape,Joe Gqabi,DOE,2753459.99,
"USINDISO TRANSPORT &
PROJECTS",SANDILE EUGENE,MNGAMBI,2010/045499/23,MAAA0339838,Eastern Cape,Chris Hani,DOE,2678197.94,
THE MOTIVE RALLY,ZIYAAD SHAIK,ISMAIL,2017/394614/07,MAAA0686125,Eastern Cape,Joe Gqabi,DOE,2673443.95,
KUNGO PROJECTS,Amanda,Nquma,2016/020029/07,MAAA0812466,Eastern Cape,Nelson Mandela Bay,DOE,2672983.99,
BOZIZI,Lwandile,Silinga,2015/068877/07,MAAA0047300,Eastern Cape,OR Tambo,DOE,2670882.79,
"BUDEDE TRADING
ENTERPRISE",Noncedo,Duku,2014/020584/07,MAAA0651778,Eastern Cape,Buffalo City,DOE,2650520.86,
"KHUMZI INVESTMENTS (PTY)
LTD",Sakie Sakhumzi,Magele,2012/043504/07,MAAA0000263,Eastern Cape,Sarah Baartman,DOE,2642191.79,
"MKHIWA TRADING
ENTERPRISE (allegations of
poor quality)",ANELE,LUNGU,2018/416550/07,MAAA0719583,Eastern Cape,OR Tambo,DOE,2615261.35,
"ICE BREAKER GENERAL
TRADING",NTOMBIKAYISE EDITH,DUBULA,2005/144536/23,MAAA0062511,Eastern Cape,Joe Gqabi,DOE,2579524.27,
"GOLDAN EVE TRADING (PTY)
LTD",Nomvuyo Beauty,Ngcebetsha,2019/108692/07,MAAA0749973,Eastern Cape,Joe Gqabi,DOE,2578110.98,
Jambisto,mfundo,maqhajana,2011/039875/23,MAAA0126065,Eastern Cape,Buffalo City,DOT,2570000.00,
DGIT CONSULTING,Vukani,Nteyi,2016/462428/07,MAAA0369260,Eastern Cape,Nelson Mandela Bay,DOE,2560591.77,
"BULINDOS CONSULTING AND
PROJECTS",Buhle,Mntongana,2015/175261/07,MAAA0844680,Eastern Cape,OR Tambo,DOE,2558171.23,
"SOYAMBA TRADING
ENTERPRISE",Mbulelo Patrick,Soyamba,2007/049710/23,MAAA0007658,Eastern Cape,OR Tambo,DOE,2547533.22,
HLUBI TRADING CC,Nikiwe Margaret,Mgwenya,2015/106978/07,MAAA0012076,Eastern Cape,Chris Hani,DOE,2539429.07,
"FINGWA AND KHWESWA
TRADING",Bulelani Eric,Sibali,2011/002902/23,MAAA0788018,Eastern Cape,Buffalo City,DOE,2539308.86,
MIXIFUSION(PTY) LTD,Chuma,Ntonga,2019/036288/07,MAAA0787073,Eastern Cape,Joe Gqabi,DOE,2499109.03,
"MANKANTSANA BUSINESS
SERVICES",SINDILE,CWATI,2015/148285/07,MAAA0475590,Eastern Cape,Nelson Mandela Bay,DOE,2491114.91,
"Devine Watch Security t/a
SPARTAN",Minavathy,Naidoo,2017/170089/07,MAAA0662984,Eastern Cape,OR Tambo,DOE,2473780.68,
TSUNAMI CIVIL,Naledi,Lukhope,2019/302492/07,MAAA0841206,Eastern Cape,Buffalo City,DOE,2461552.88,
"CHRISTIAN INVESTMENT
GROUP",Christo,Christian,2018/522248/07,MAAA0730861,Eastern Cape,Sarah Baartman,DOE,2451602.66,
Cruden Waterproofing,Aphiwe,Patekile,2016/195012/07,MAAA0388128,Eastern Cape,Nelson Mandela,DOH,2450000.00,
"SWAZILWAM TRADING (PTY)
LTD",Baxolile,Khumalo,8.61203E+12,MAAA0550243,Eastern Cape,OR Tambo,DOE,2428362.51,
"FRESH AND CLEAN
LAUNDROMAT",Nosipho,Cadogan,2002/096275/23,MAAA0086433,Eastern Cape,Amathole,DOE,2417554.58,
YINATHI HOLDINGS,Sibahle,Qhomfo,2013/122751/07,MAAA0590421,Eastern Cape,Sarah Baartman,DOE,2415145.15,
KONSTRUCT SGN (PTY) LTD,Ketwa,Sogoni,2017/047193/07,MAAA0419693,Eastern Cape,Joe Gqabi,DOE,2412449.10,
KHANICRAFT,Khusela Siboleke,Mqoboli,2019/474705/07,MAAA0851169,Eastern Cape,Nelson Mandela Bay,DOE,2411091.51,
Milwa Medical,JACOB,TETANA,2003/094761/23,MAAA0168372,Eastern Cape,OR Tambo,DOH,2400300.00,
"MQOQE CLEANING &TRADING
ENTERPRISE",Linda,Mavovana,2011/103339/23,MAAA0310722,Eastern Cape,Joe Gqabi,DOE,2392607.63,
"AFRO LIVE LINE CONTRACTOR
(PTY) LTD",Yandiswa,Mlobi,2012/175240/07,MAAA0338907,Eastern Cape,Nelson Mandela Bay,DOE,2381261.48,
Zamaswazi Group,Mntuse,Ntsokoma,2019/457254/07,MAAA0899569,Eastern Cape,Buffalo City,DOH,2378000.00,
AMPLIFY VENTURES (PTY) LTD,Maphelo,Silinga,2014/254934/07,MAAA0504661,Eastern Cape,Buffalo City,DOE,2377702.39,
"AKIBAR TRADING AND
PROJECTS",Ronny,Ogwang,2016/382040/07,MAAA0321163,Eastern Cape,Amathole,DOE,2371180.15,
"EL TRADING ENTERPRISES CC
T/A AMATOLA AIR
CONDITIONING",Samantha,Geldenhuys,1992/009800/23,MAAA0500355,Eastern Cape,Chris Hani,DOE,2366796.49,
YAYAM TRADING,Danile Justice,Dyala,2010/118995/23,MAAA0325100,Eastern Cape,Sarah Baartman,DOE,2349527.17,
LINAM02 PROJECTS (PTY) LTD,AYANDA,MDLEDLE,2018/315480/07,MAAA0743645,Eastern Cape,Sarah Baartman,DOE,2346469.76,
KAAZI PROPERTIES (PTY)LTD,Zukile,Diko,2017/476905/07,MAAA0576048,Eastern Cape,Joe Gqabi,DOE,2337634.62,
