Supplier Name,Director Name,Director Surname,Company Registration,CSD Supplier  Number,Location,District,Departme,tOrder Price,
KWECHIBLO (PTY) LTD,FEZIWE,CENGE,2017/412398/07,MAAA0620431,Eastern Cape,Buffalo City,DOE,1949017.64,
"NAKO DELIVERY SERVICES
(PTY) LTD",Michael,Lesetla,2013/030183/07,MAAA0701049,Eastern Cape,OR Tambo,DOE,1946652.67,
NEZAMNA PROJECT (PTY) LTD,Babalwa,Dada,2017/305387/07,MAAA0511680,Eastern Cape,Buffalo City,DOE,1946582.73,
NGUBANE PROJECTS (PTY) LTD,Lusanda Mthunzi,Ngubane,2019/034008/07,MAAA0863372,Eastern Cape,OR Tambo,DOE,1946582.73,
NDZAMELA CONSTRUCTION,Mongezi Zukisani,Ndzamela,2006/077822/23,MAAA0782369,Eastern Cape,Joe Gqabi,DOE,1945546.89,
"HAPPY REST TRADING
ENTERPRISE",Chwayita,Matiwane,2010/123492/23,MAAA0611755,Eastern Cape,Buffalo City,DOE,1931484.00,
"GROWORK ENTERPRISE (PTY)
LTD",Sinekhaya,Mntwapi,2019/292110/07,MAAA0799698,Eastern Cape,Nelson Mandela Bay,DOE,1930787.01,
"TEMBALABANTU SECURITY
CLEANING AND GENERAL
TRADING",Mlungeli,Majavu,2008/006562/23,MAAA0437780,Eastern Cape,Nelson Mandela Bay,DOE,1920633.28,
"THEMBALETHU WORKWEAR
(PTY) LTD",Nomphelo Debbie,Joka,2017/031069/07,MAAA0403926,Eastern Cape,Nelson Mandela Bay,DOE,1920633.28,
DIDUTEX (PTY) LTD,Dan,Bolman,2014/062680/07,MAAA0031264,Eastern Cape,Buffalo City,DOE,1918384.64,
RIETU TRADING (PTY) LTD,Siyasanga,Kubukeli,2014/032155/07,MAAA0135578,Eastern Cape,OR Tambo,DOE,1917980.44,
"ANDILE SG TRADING AND
PROJECTS",SONWABO GIFT,BOQWANA,2008/225820/23,MAAA0180476,Eastern Cape,OR Tambo,DOE,1916989.39,
TANAKA SOFT SOLUTIONS,linda filda,muthana,2015/262081/07,MAAA0249777,Eastern Cape,Sarah Baartman,DOE,1915954.59,
TAKANA SOFT SOLUTIONS,SIPHIWO,TAKANA,6.40711E+12,MAAA0350226,Eastern Cape,Chris Hani,DOE,1915950.59,
ZIMBELIMDAKA,THOZAMILE,MANTSHIYOSE,2011/013048/23,MAAA0074070,Eastern Cape,Nelson Mandela Bay,DOE,1914634.75,
MATSHAYA INVESTMENTS,shadreck,pita,2014/280658/07,MAAA0503893,Eastern Cape,Buffalo City,DOE,1912394.80,
NALUBOKO (PTY) LTD,Nandipha,Mdaka,2020/012891/07,MAAA0898360,Eastern Cape,Chris Hani,DOE,1911658.98,
LF SETS INVESTMENT,LESEDI,SETSUBI,2015/274813/07,MAAA0071294,Eastern Cape,Joe Gqabi,DOE,1906991.61,
DNA STRUCTURES,Nolusindiso,Mbande,2005/152855/23,MAAA0172047,Eastern Cape,Buffalo City,DOE,1904623.19,
"AMABONGWE BUILDING AND
CIVIL",CHRIS,LUKHOPE,2001/015135/23,MAAA0178518,Eastern Cape,OR Tambo,DOE,1904316.04,
NTINGA PROFESSIONALS,Zanele Veto,Veto,2013/229471/07,MAAA0085053,Eastern Cape,Joe Gqabi,DOE,1904221.96,
SAGINGQA,Mqondiso Boseman,Makupula,2015/287789/07,MAAA0700890,Eastern Cape,Buffalo City,DOE,1902911.71,
"KAMVA NOMAZIZI
INVESTMENT (PTY) LTD",NANGAMSO,SIDINANA,2015/413934/07,MAAA0085558,Eastern Cape,Chris Hani,DOE,1900127.52,
"ALZ Printing and Stationery
Shop (Pty) Ltd",Linda,Mtumtum,2014/139585/07,MAAA0574802,Eastern Cape,OR Tambo,DOE,1898071.00,
"CYCLE CIVILS AND PROJECTS
(PTY) LTD",SIYABULELA,NTSADA,2014/139650/07,MAAA0046888,Eastern Cape,Buffalo City,DOE,1895487.83,
DARDYL TRADING,Jeanetta Dalene,Stanton,2009/012419/23,MAAA0224497,Eastern Cape,Buffalo City,DOE,1886988.11,
"OYISII ENGINEERING &
PROJECTS",LUCIA,NGOMANE,2016/496654/07,MAAA0420055,Eastern Cape,Amathole,DOE,1883142.07,
MASIBA AND SON TRADING,Luvo,Masiba,2013/127483/07,MAAA0039419,Eastern Cape,Joe Gqabi,DOE,1867928.51,
"DEVOPHASE (PTY) LTD t/a
KLEEN-TECH HYGIENE
SYSTEMS",Sakhele Merriman,Skenjana,2013/215738/07,MAAA0437087,Eastern Cape,Nelson Mandela Bay,DOE,1866615.16,
NGXIVA CONSTRUCTION,Nelisa,Solombela,2006/187861/23,MAAA0096072,Eastern Cape,Buffalo City,DOE,1865893.50,
BRAVO AFRIKA HOLDINGS,Gabuka,Booi,2010/158872/23,MAAA0111353,Eastern Cape,Buffalo City,DOE,1849731.71,
WILLSKOSA (PTY) LTD,MASANDE,FAKU,2018/622206/07,MAAA0717856,Eastern Cape,OR Tambo,DOE,1848812.78,
"KHUTHALA CONSULTING PTY
LTD",Thami,Khanyile,2012/123392/07,MAAA0643230,Eastern Cape,Buffalo City,DOE,1845904.73,
ZONDIPHASE,Clive,Lingham,2014/172473/07,MAAA0390638,Eastern Cape,Nelson Mandela Bay,Soc Dev,1844708.00,
"LSI GENERAL TRADING LOGIS :
S1863",Siyabonga Prince,Mkhwanazi,2018/562338/07,MAAA0696736,Eastern Cape,Nelson Mandela Bay,DOE,1836598.53,
OKMAN TRADING,Okuhle,Mancunga,2014/162619/07,MAAA0434388,Eastern Cape,Nelson Mandela Bay,DOE,1822817.28,
"SPICE J GENERAL TRADING
(PTY) LTD",Inga,Spayile,2014/030861/07,MAAA0368135,Eastern Cape,Buffalo City,DOE,1821464.15,
Zanokhanyo,Thandisizwe,Ncalu,2018/409802/07,MAAA0778465,Eastern Cape,OR Tambo,DOH,1793412.21,
"MTHETHUYANDA TRADING
ENTERPRISE",LUYANDA,NTAKANA,2016/370730/07,MAAA0493932,Eastern Cape,Joe Gqabi,DOE,1787958.75,
"IXESIBE BUILDING
CONSTRUCTION",DUMISANI,PHALAPHALA,2008/255650/23,MAAA0405817,Eastern Cape,Buffalo City,DOE,1782163.57,
MTIKA JOTELA CONTRACTORS,Mandisi,Tshetu,2006/014762/23,MAAA0079454,Eastern Cape,Nelson Mandela Bay,DOE,1781187.53,
NOBUPAT (PTY) LTD,Ndyebo,Ndakisa,2018/213736/07,MAAA0666860,Eastern Cape,Nelson Mandela Bay,DOE,1778421.18,
NDONGENI CONSTRUCTION,MZIWOTHANDO,NDONGENI,2002/099925/23,MAAA0057407,Eastern Cape,Nelson Mandela Bay,DOE,1776763.50,
SALAISO SUPPLIERS,Salathiso,Sikonje,2008/071801/23,MAAA0084947,Eastern Cape,OR Tambo,DOE,1762325.48,
"R707 PROJRCTS AND
CONSTRUCTIONS",Patrick,Soenies,2014/046656/07,MAAA0504568,Eastern Cape,Nelson Mandela Bay,DOE,1758628.74,
SMALL BIRD BUS SERVICES,Simphiwe,Ntakana,2004/086540/23,MAAA0162585,Eastern Cape,OR Tambo,DOE,1757539.86,
UPON MANY WATERS,CLINTON,HAND,2010/000565/07,MAAA0004592,Eastern Cape,Chris Hani,DOE,1738628.32,
IKATI EZIKO TRADING CC,Siyabulela,Mgijima,2008/260718/23,MAAA0061151,Eastern Cape,Buffalo City,DOE,1732681.46,
MERIDIAN HYGIENE (PTY) LTD,Justin,Hotz,2015/314563/07,MAAA0563261,Eastern Cape,OR Tambo,DOE,1731870.19,
"CHUMA HLANGA
CONSTRUCTION",Hlanganisa,Matiwane,2010/052482/23,MAAA0268875,Eastern Cape,Joe Gqabi,DOE,1727542.35,
KLEAR VISIONS FOUNDATION,Vanessa,Masilo,2016/049687/08,MAAA0553005,Eastern Cape,Nelson Mandela Bay,DOE,1723580.73,
PRECISE ESTATE AGENTS,THABANI LAWRENCE,MOYA,2013/211357/07,MAAA0629893,Eastern Cape,Buffalo City,DOE,1719371.43,
PELE G TRADING 2012,THOZAMA,SWARTLAND,2019/101537/07,MAAA0743908,Eastern Cape,Chris Hani,DOE,1718220.74,
"OGU YONKE CATERING AND
CONSTRUCTION CC",Andiswa,Mlonyeni,2005/168033/23,MAAA0014808,Eastern Cape,Amathole,DOE,1710370.58,
BENYAS LEGACY,Kayalethu,Benya,2018/271812/07,MAAA0664142,Eastern Cape,OR Tambo,DOE,1708606.73,
DON MASE PROJECTS,Vuyo,Nongcula,2016/391226/07,MAAA0337120,Eastern Cape,Nelson Mandela Bay,DOE,1706946.17,
"AFRIKA MZALIWETHU
PROJECTS",Noluntu,Tshangana,2017/499540/07,MAAA0554214,Eastern Cape,Buffalo City,DOE,1694568.25,
SIYAKHANDA MEDCIAL,Lori,du Preez,2001/001606/07,MAAA0015272,Eastern Cape,Buffalo City,DOH,1694546.00,
NCD HOLDINGS,Sakiwo,ngcwangu,2018/045642/07,MAAA0591834,Eastern Cape,OR Tambo,DOE,1674279.86,
VAXOBYTE,Thembelihle,Gxothiwe,2013/034931/07,MAAA0348237,Eastern Cape,Buffalo City,DOE,1663257.25,
ST 75 CONSTRUCTION,Zanemvula Adolphus,Magabitshana,2019/127425/07,MAAA0756324,Eastern Cape,Alfred Nzo,DOE,1660032.57,
M A T TRADING ENTERPRISE,Musa,Faku,2016/424991/07,MAAA0361787,Eastern Cape,Nelson Mandela Bay,DOE,1653425.44,
TOP LEVEL PREMIER SERVICES,Ntlhane Emmah,Sebothoma,2020/044858/07,MAAA0935325,Eastern Cape,OR Tambo,DOE,1650824.36,
ZKS PROJECTS,BENJAMIN KAMOGELO,CHABAEMANG,2015/238666/07,MAAA0338440,Eastern Cape,Buffalo City,DOE,1647223.75,
INVESTOREX 28 (PTY) LTD,Belinda,Brink,2017/365547/07,MAAA0038500,Eastern Cape,Buffalo City,DOE,1633381.13,
"ATHITONI TRADING
ENTERPRISE (PTY) LTD",SAKHIWE,TONI,2016/540285/07,MAAA0524513,Eastern Cape,Nelson Mandela Bay,DOE,1617146.69,
"YANDE ENGINEERING AND
PROJECTS",Khaya,Tebekana,2009/017005/23,MAAA0173800,Eastern Cape,Nelson Mandela Bay,DOE,1615408.09,
"ECO CHEMICAL SOLUTIONS -
MKHONTO WETHU",Viva,Maqubela,2017/424818/07,MAAA0551259,Eastern Cape,Nelson Mandela Bay,DOE,1613222.18,
SPINDRIFT TRADING 12,Mancube,Siwahla,2000/036009/23,MAAA0105333,Eastern Cape,Buffalo City,DOE,1601990.62,
Soul Fire Holdings,Zwelinzima Siyethemba,Dweba,2015/095386/07,MAAA0557187,Eastern Cape,OR Tambo,DOH,1594117.65,
MOPELIPA TRADING,Aaron Mopeli,Mohale,2018/501243/07,MAAA0682258,Eastern Cape,Buffalo City,DOE,1585982.95,
"LATHITHA CONSTRUCTION
AND SERVICES",Phindiwe Tembela,Ntlebi,2006/016665/23,MAAA0011359,Eastern Cape,Nelson Mandela Bay,DOE,1577969.42,
"AYALIWE CONTRACTORS AND
PROJECTS",Olwethu,Mhambi,2010/141810/23,MAAA0037382,Eastern Cape,Nelson Mandela Bay,DOE,1569089.65,
DKH Solutions PTY LTD,Xolani,Juta,2018/004600/07,MAAA0911932,Eastern Cape,Amathole,DOE,1568535.15,
Shabar Holdings (PTY) LTD,Bathembu,Mgudlwa,2019/380393/07,MAAA0826886,Eastern Cape,Buffalo City,DOE,1566680.43,
MTHOMKHULU PROJECTS,Unathi,Mayekiso,2016/475380/07,MAAA0505490,Eastern Cape,Buffalo City,DOE,1561566.73,
Akibar Trading and Projects,Ronny,Ogwang,2016/382040/07,MAAA0321163,Eastern Cape,Buffalo City,DOH,1560000.00,
Bhele-Boys Trading,Nonkazimlo Xoliswa,Cingo,2009/091748/23,MAAA0020402,Eastern Cape,OR Tambo,DOH,1560000.00,
BID Consultancy,Thandile,Matshazi,2017/191478/07,MAAA0574393,Eastern Cape,Buffalo City,DOH,1560000.00,
Camion Solutions,Mfundo Brian,Magwaca,2015/218906/07,MAAA0180549,Eastern Cape,Nelson Mandela Bay,DOH,1560000.00,
Curopart (Pty) Ltd,Unathi,Faku,2013/010672/07,MAAA0543363,Eastern Cape,Nelson Mandela,DOH,1560000.00,
Exilite 369,Masixole,Mfingwana,2011/064761/23,MAAA0899972,Eastern Cape,Buffalo City,DOH,1560000.00,
Falcolux,Thembeni,Lolwana,2009/223882/23,MAAA0131686,Eastern Cape,Buffalo City,DOH,1560000.00,
"Jiyana Global Consulting &
Trader",Vuyisa,Hlwatika,2015/296409/07,MAAA0032619,Eastern Cape,Buffalo City,DOH,1560000.00,
Linose Trading,Thembalethu,Linose,2009/103426/23,MAAA0374943,Eastern Cape,Buffalo City,DOH,1560000.00,
Mbasazwe Enterprise 10 CC,Noxolo,Dilima,2013/176377/07,MAAA0089964,Eastern Cape,Sarah Baartman,DOH,1560000.00,
Nduna Events Management,Bethusile Kwazi,Mcinga,2019/152868/07,MAAA0780709,Eastern Cape,OR Tambo,DOH,1560000.00,
Memarise Holdings,Noxolo,Mema,2012/193899/07,MAAA0321952,Eastern Cape,Buffalo City,DOH,1560000.00,
Sagient Consulting Engineers,Noloyiso,Bavuma,2009/122203/23,MAAA0036132,Eastern Cape,Nelson Mandela,DOH,1560000.00,
Salaiso Suppliers,Salathiso,Sikonje,2008/071801/23,MAAA0084947,Eastern Cape,Buffalo City,DOH,1560000.00,
"SWAZILWAM TRADING (PTY)
LTD",Baxolile,Khumalo,8.61203E+12,MAAA0550243,Eastern Cape,OR Tambo,DOH,1560000.00,
Tshila Mega Chemicals,XOLANI,SINUKA,2017/162091/07,MAAA0487969,Eastern Cape,Buffalo City,DOH,1560000.00,
Ubuqawuqawuli,Nobuntu Thelma,Mange,2015/199943/07,MAAA0154606,Eastern Cape,Nelson Mandela Bay,DOH,1560000.00,
"MILANAM BUSINESS
DEVELOPMENTS CC",Luvuyo,Vika,2008/195065/23,MAAA0057699,Eastern Cape,Buffalo City,DOE,1556278.79,
E&H PRINTERS C,shantell,van der westhuizen,1999/008717/23,MAAA0088580,Eastern Cape,Amathole,DOE,1545853.68,
MANDILA TRADING (PTY) LTD,Nolusindiso,Krwabasini,2012/189096/07,MAAA0063822,Eastern Cape,Nelson Mandela Bay,DOE,1545595.62,
"AFRICAN COMPASS TRADING
342 CC",LUDWE XABISO,MATYABA,2010/020302/23,MAAA0512998,Eastern Cape,Nelson Mandela Bay,DOE,1527537.00,
Beloved Ventures,Zingisa,Ndudane,2009/106868/23,MAAA0006780,Eastern Cape,Buffalo City,DOH,1526662.81,
Asiphumeze Trading,siyabulela,mrwetyana,2010/043888/23,MAAA0000730,Eastern Cape,Buffalo City,DOH,1517600.00,
Bravorox 119,Ntande,Sangoni,2011/011877/23,MAAA0082076,Eastern Cape,Buffalo City,DOH,1517600.00,
Dikha Trading,Thomas Nothon,Malepe,2012/085275/07,MAAA0458050,Eastern Cape,OR Tambo,DOH,1517600.00,
Luphawu,Sizwe,Nongogo,2013/186960/07,MAAA0109163,Eastern Cape,Buffalo City,DOH,1517600.00,
Lethlakeng Trading&Projects,sibulele lawrence,kave,2018/094589/07,MAAA0093665,Eastern Cape,Buffalo City,DOH,1517600.00,
Sithi Shuffle Trading 144,Mlungisi  Ratsi,July,2003/026500/23,MAAA0086070,Eastern Cape,Buffalo City,DOH,1517600.00,
Stowie-m Trading,Pumza,Mlakalaka,2006/074359/23,MAAA0121360,Eastern Cape,Buffalo City,DOH,1517600.00,
XV Civils,yanga,malindi,2015/150086/07,MAAA0109956,Eastern Cape,OR Tambo,DOH,1517600.00,
W W Zenande,Xolelwa,Hoko,2018/306402/07,MAAA0674156,Eastern Cape,Nelson Mandela Bay,DOH,1510000.00,
Avulunge Projects,mxolisi,sibani,2018/036383/07,MAAA0582071,Eastern Cape,Buffalo City,DOH,1500000.00,
Christian Investment Group,Christo,Christian,2018/522248/07,MAAA0730861,Eastern Cape,Buffalo City,DOH,1500000.00,
Eyman General Trading,Thembisa,Kosani,2016/413149/07,MAAA0406346,Eastern Cape,Buffalo City,DOH,1500000.00,
"LAUDE TRADING AND
SERVICES",Abongile,Tshayimbande,2019/601341/07,MAAA0917182,Eastern Cape,Amathole,DOE,1499044.91,
GO ENTERPRISE COMPANY,Mteteleli,Kahlana,2016/259998/07,MAAA0417597,Eastern Cape,Nelson Mandela Bay,DOE,1487134.55,
"MQK CIVILS & PROJECT
MANAGERS (PTY) LTD",moleboheng monica,meselani,2012/225278/07,MAAA0245910,Eastern Cape,Amathole,DOE,1483284.92,
LWANDLE & DUMA CC,Nomthatha,Tame,2009/072809/23,MAAA0119485,Eastern Cape,Amathole,DOE,1464533.37,
DLUSH CONSTRUCTION,Nonkoliso,Rozani,2019/267930/07,MAAA0782661,Eastern Cape,Nelson Mandela Bay,DOE,1464322.00,
OVAYO INVESTMENTS,Anele Anthony,Yawathe,2008/164159/23,MAAA0007965,Eastern Cape,Nelson Mandela Bay,DOE,1457847.90,
"MAPUBO CONSULTING AND
INVESTMENT (PTY) LTD",Abraham Matsitsi,Kolanchu,2020/038270/07,MAAA0897185,Eastern Cape,Nelson Mandela Bay,DOE,1454820.79,
LFD Project,Clarence,Butler,2017/413597/07,MAAA0551670,Eastern Cape,Buffalo City,DOH,1442600.00,
"SISASESONKE TRADING AND
PROJECTS (PTY) LTD",WANDA,DZINGWA,2016/410068/07,MAAA0748085,Eastern Cape,Nelson Mandela Bay,DOE,1439315.84,
ZPK TRADING ENTERPRISE,PATIENCE ZANELE,KESWA,2017/288697/07,MAAA0505318,Eastern Cape,Amathole,DOE,1428875.07,
"KHULANI SKILLS
DEVELOPMENT CENTRE",tembisa,qinga,2014/172697/07,MAAA0050649,Eastern Cape,Nelson Mandela Bay,DOE,1426264.39,
"ATLEHANG BASADI BUILDING
AND CONSTRUCTION",Ramokabai Alfred,Motaung,2004/027470/23,MAAA0480067,Eastern Cape,Nelson Mandela Bay,DOE,1423603.38,
"STIRA CONSTRUCTION AND
PROJECTS",SIMTHEMBILE FAITH,CENGA,2008/188864/23,MAAA0111039,Eastern Cape,Amathole,DOE,1388791.27,
Ibasathi Projects,Mandilakhe,Getye,2020/061209/07,MAAA0883435,Eastern Cape,Buffalo City,DOH,1375000.00,
Srarlif Trading 8,Cheries,Michaels,2011/060686/23,MAAA0001929,Eastern Cape,Nelson Mandela Bay,DOH,1362500.00,
Uni-Life Investment Group,Dumisani Hendry,Mthombothi,2006/026696/23,MAAA0004088,Eastern Cape,Buffalo City,DOH,1350000.00,
"MADO CONTRACTORS
(PTY)LTD",Lolwethu,Dontsa,2016/486400/07,MAAA0447350,Eastern Cape,Nelson Mandela Bay,DOE,1346488.42,
"BLOMZIT AVENUE
PRODUCTIONS",Malibongwe Theron,Blom,2015/330349/07,MAAA0824532,Eastern Cape,Buffalo City,DOE,1328840.14,
NUTIGEN,Phumlani,Nene,2018/337822/07,MAAA0801695,Eastern Cape,Buffalo City,DOE,1306528.55,
"AWETHU EVENTS MAN &
CATERING",zanele stella,Baca,2009/053720/23,MAAA0086718,Eastern Cape,Sarah Baartman,DOE,1283933.23,
Blue Cut Flora,Dean Leroy,Contell,1967/002673/07,MAAA0682678,Eastern Cape,Amathole,ECRDA,1276231.45,
Purple Sunshine Trading 70,Pamela,Bukashe,2012/062485/07,MAAA0237330,Eastern Cape,Buffalo City,DOH,1266250.00,
Byxicel,Mandla,Mbayimbayi,2018/037623/07,MAAA0820600,Eastern Cape,Buffalo City,DOH,1248000.00,
Dantonetix,Khanyisa,Ncana,2016/515255/07,MAAA0488360,Eastern Cape,Buffalo City,DOH,1248000.00,
Ezamazizi Trading Enterprise,CINDY,NDUBELA,2011/046402/23,MAAA0084381,Eastern Cape,Buffalo City,DOH,1248000.00,
Go Enterprise,Graham,Nosworthy,1992/026637/23,MAAA0540952,Eastern Cape,Nelson Mandela Bay,DOH,1248000.00,
"Jikijela Communication and
Advert",Miso Goodwill,Jikijela,2009/155545/23,MAAA0031324,Eastern Cape,Buffalo City,DOH,1248000.00,
Lugaju Innovations,Bongumusa Msizi,Zuma,2014/118383/07,MAAA0051471,Eastern Cape,Buffalo City,DOH,1248000.00,
LLPW Consultants,Lydia Nokubonga,Qinisile,2014/044332/07,MAAA0036457,Eastern Cape,Chris Hani,DOH,1248000.00,
"LSS-Laundry Services
&Supplies",Rehen,Maharaj,2008/171388/23,MAAA0007668,Eastern Cape,Buffalo City,DOH,1248000.00,
Mkhanzane Investment,Nomthandazo,Mkhanzana,2007/012879/23,MAAA0317185,Eastern Cape,Buffalo City,DOH,1248000.00,
Ntsikana ka Gabha,Olwethu Sakhumzi,Hoyana,2019/369111/07,MAAA0879671,Eastern Cape,Buffalo City,DOH,1248000.00,
Sanoah Trading Enterprise,Bongiwe,Noah,2008/003108/23,MAAA0351543,Eastern Cape,Buffalo City,DOH,1248000.00,
Ntshuza General Trading,Luvuyo,Ngxata,2013/199551/07,MAAA0291336,Eastern Cape,Buffalo City,DOH,1248000.00,
"SIDIKI APHIWE GROUP (PTY)
LTD",Aphiwe,Sidiki,2015/303350/07,MAAA0306195,Eastern Cape,Chris Hani,DOE,1247198.25,
"MILISOKUHLE INVESTMENTS
(PTY) LTD",Bantubonke Lihle,Diko,2015/245088/07,MAAA0247465,Eastern Cape,Amathole,DOE,1209388.39,
THE QUEEN BEE,Mendisa Nobarolong,Bakaco,2017/182355/07,MAAA0490446,Eastern Cape,Amathole,DOE,1202326.00,
U-Rent,CLINTON,HAND,2010/000565/07,MAAA0004592,Eastern Cape,Buffalo City,DOH,1188200.00,
Mkhonto Wethu Trading,Viva,Maqubela,2017/424818/07,MAAA0551259,Eastern Cape,Nelson Mandela Bay,DOH,1172500.00,
"QUICK PROTECTION AND
HYGIENE SERVICES (PTY) LTD",Ntobeko,Mayezana,2019/595797/07,MAAA0932136,Eastern Cape,Amathole,DOE,1164198.99,
AMINA CHEM (PTY)LTD,TENIEL,SUTTON,2010/018248/07,MAAA0127803,Eastern Cape,Buffalo City,DOE,1158844.91,
"USIMELWENATHI TRADING &
PROJECTS",Nqabisa,sixaba,2017/449244/07,MAAA0597496,Eastern Cape,Amathole,DOE,1151242.20,
Buhlebezwe Enterprise,Mduduzi,Madikane,2009/013923/07,MAAA0107291,Eastern Cape,Buffalo City,DOH,1130000.00,
SBV Holdings,William,Stainbank,2013/017390/07,MAAA0171815,Eastern Cape,OR Tambo,DOH,1130000.00,
Umnombo Advisory,Sizwe,Mabandla,2013/218789/07,MAAA0355876,Eastern Cape,Buffalo City,DOH,1130000.00,
"LIYATA CIVILS AND
CONSTRUCTIONS",NQABAKAZI,NGONQO,2009/117576/23,MAAA0648925,Eastern Cape,Joe Gqabi,DOE,1045282.45,
HLANZY HOLDINGS,Zona Mandlakazi Wisegirl,Mahlanza,2019/024060/07,MAAA0724513,Eastern Cape,Chris Hani,DOE,1029640.06,
"IZWELIBANZI CAPITAL (PTY)
LTD",Asanda Asavela,Maqabuka,2017/196349/07,MAAA0618742,Eastern Cape,OR Tambo,DOE,949099.87,
"BLAQUE CRYSTAL
ENTERTAINMENT & EVENTS",Chuma,Molosi,2016/520110/07,MAAA0603047,Eastern Cape,Nelson Mandela,DOE,864577.92,
Meditex,Tracey,Coertse,2006/195296/23,MAAA0480790,Eastern Cape,Nelson Mandela,DOH,857600.00,
"LUNGANI NDLEBE FAMILY
TRUST",Lungani,Ndlebe,IT1130/2005,MAAA0004092,Eastern Cape,Nelson Mandela Bay,DOH,742386.80,
East Coast Medical,Debby,Fynn,1987/009460/23,MAAA0150607,Eastern Cape,Nelson Mandela,DOH,712596.70,
"NCILASHE HOSPITALITIES
(PTY)LTD",Mkhululi,Siyo,2018/503255/07,MAAA0718916,Eastern Cape,Amathole,DOE,665587.34,
Pluribix,tsepo,daniels,2010/014796/07,MAAA0079228,Eastern Cape,Buffalo City,DOH,652179.00,
PHOTUXOLO TRADING,Xolisa Morris,Mayeza,2010/046505/23,MAAA0101071,Eastern Cape,Buffalo City,DOE,643571.22,
NMU,Gloria Nokulinda,Dlamini,2016/478867/07,MAAA0371658,Eastern Cape,Nelson Mandela Bay,DOH,560000.00,
HEALTH FOR ALL PTY LTD,Mzekelo Trevor,Jarana,2013/158317/07,MAAA0232955,Eastern Cape,Nelson Mandela,COEGA,554400.00,
LINLOS INVESTMENTS 4,Thabiso,Semelar,2001/071741/23,MAAA0092153,Eastern Cape,Buffalo City,DPW,546043.98,
Axab,Lwazi,Xaba,2018/460415/07,MAAA0874529,Eastern Cape,Buffalo City,DOT,510000.00,
UZZU16 TRADING,Uzuwakhe,Stout,2012/220382/07,MAAA0035675,Eastern Cape,Nelson Mandela Bay,DOH,499985.00,
GOAVECT,LESLEY LOYISO,NDLALENI,2013/197280/07,MAAA0128209,Eastern Cape,Nelson Mandela,DPW,495650.00,
TYEKS SECURITY SERVICES,Tyelovuyo Gladstone,Buhlungu,2006/149744/23,MAAA0338722,Eastern Cape,OR Tambo,DOH,493842.87,
Steiner Hygeine,Moipone,Koalepe,6.61204E+11,MAAA0075897,Eastern Cape,Buffalo City,ELIDZ,475092.03,
"Nkqubela Community
Developers",Sakiwo,Ngcwangu,2009/126316/23,MAAA0041657,Eastern Cape,OR Tambo,ELIDZ,460900.00,
Kempston Cleaning Service,Amanda,Gcukumana,1986/013125/23,MAAA0234220,Eastern Cape,Buffalo City,ELIDZ,449487.60,
Vulindlela Media Housing,Dan,Singh,2007/115837/23,MAAA0004679,Eastern Cape,Buffalo City,DOH,444061.00,
Za Majola,ZIYATHANDWA,SHALE,2018/382050/07,MAAA0668454,Eastern Cape,Amathole,Legislature,462686.85,
"ULTRA GUARD CLEANING
SOLUTIONS",PETRUS JACOBUS,JONAS,2003/010051/07,MAAA0074225,Eastern Cape,OR Tambo,DPW,331200.00,
Owamathala Enterprises,KHANYISA,NOGWINA,2018/103159/07,MAAA0631145,Eastern Cape,OR Tambo,Legislature,325000.00,
Ditsibi Procurement,Lukhanyo,Manzini,2012/215786/07,MAAA0083614,Eastern Cape,Buffalo City,DHS,312841.02,
Amzluyo Enterprise,Ndileka,Matshingana,2014/028282/07,MAAA0198074,Eastern Cape,Buffalo City,MTC,310970.00,
"AMATOLA CLEANING
SUPPLIES",LEON,CLOETE,1999/038409/23,MAAA0036903,Eastern Cape,Buffalo City,COGTA,285135.98,
Symo Industries,Joshua David,Symington,2019/390976/07,MAAA0911182,Eastern Cape,Buffalo City,Legislature,281770.00,
"Life Employee Health
Solutions",Chantal,Slabbert,2012/077831/07,MAAA0013143,Eastern Cape,Buffalo City,DOT,279809.26,
TIME Clothing,John Derek,Goodhill,1997/014883/07,MAAA120112,Eastern Cape,Buffalo City,DPW,277078.15,
Inkosi Healthcare,Bongile,Manzingane,2016/269769/07,MAAA0218539,Eastern Cape,Nelson Mandela,DOH,276000.00,
"FUNDAM A TRADING AND
RECYCLING",andile,Fundam,2015/245341/07,MAAA0000336,Eastern Cape,Buffalo City,Soc Dev,275000.00,
ZONDIPHASE,Clive,Lingham,2014/172473/07,MAAA0390638,Eastern Cape,Nelson Mandela,PT,266000.00,
Medicare Technologies,boitumelo tsholofelo,kgasane,2019/295290/07,MAAA0802308,Eastern Cape,Nelson Mandela Bay,DOH,265520.00,
Acid Prints,Luxolo,Makasi,2020/066715/07,MAAA0884384,Eastern Cape,Buffalo City,DOH,259870.00,
Agile Minds,Chumani,Mnyaka,2018/319512/07,MAAA0629669,Eastern Cape,Amathole,MTC,241031.00,
Kempston Hire,Megan,Bowles,1969/004762/07,MAAA0039202,Eastern Cape,Buffalo City,DOH,232507.88,
NGUTA-MABE SOLUTIONS,tembinkosi oscar,mhlanga,2014/195079/07,MAAA0586835,Eastern Cape,Buffalo City,DPW,217848.00,
T Birch and Company,CHRIS,MOWBRAY,1901/000357/07,MAAA0230484,Eastern Cape,Buffalo City,DOT,209967.00,
