Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
OWP Mpumalanga,3/17/2020,MACARENA CASH AND CARRY,GLOVES EXAMINATION,100.00,3,340.00,None
OWP Mpumalanga,3/18/2020,OVERALL AND GENERAL,GLOVES EXAMINATION,172.50,7,1207.50,None
OWP Mpumalanga,3/18/2020,CASHBUILD,MASKS,69.95,4,279.80,None
OWP Nortern Cape,1/4/2020,Razaanah Toffar,Hand Sanitizers 5l,650.00,5bottles,3250.00,None
OWP Nortern Cape,3/18/2020,Dis-Chem Kimberley Pharmacy,Hand Sanitizers,29.95,6bottles,179.70,None
OWP Nortern Cape,3/18/2020,Libra Pharmacy,A/Clin Gloves PWD 100 M,107.95,2boxes,215.90,None
OWP Nortern Cape,3/18/2020,Libra Pharmacy,A/Clin Gloves Nitrile Small,148.95,1box,148.95,None
OWP Nortern Cape,3/25/2020,ACL Supplies,Latex Gloves Powder Free,120.00,10boxes,1200.00,None
OWP Nortern Cape,3/25/2020,ACL Supplies,Surgical Face Masks,"2,000.00",2boxes,4000.00,None
OWP Nortern Cape,3/25/2020,ACL Supplies,Alcohol Hand Sanitizers 5l,780.00,20bottles,15600.00,None
OWP Nortern Cape,4/29/2020,KC's Kimberley Clothing,Material Face Masks,25.00,42masks,1050.00,None
OWP North West,4/30/2020,Pienk Pilletjies,Masks - re-useable,25.00,80,2000.00,None
OWP Western Cape,4/9/2020,AFRICAN BRANDS TRADING,3PLY SURGICAL FACE MASKS,28.00,200,5600.00,None
OWP Western Cape,4/16/2020,PICK AND PAY,CLOTH FACIAL MASKS,20.00,200,4000.00,None
