buyer_name,,No.,items_description,supplier_name,order_amount_zar,Duration,award_date,bbbee_status,% Owned by black people,% Owned by youth,% Owned by black women ,% Owned by people with disabilities,order_number,COMMENTS 
Department of Mineral Resources and Energy (DMRE),Once-off services,45,"Appointment of service provider Mujammilo Investment to supply and deliver 1 single bed/ mattress complete to the DMRE office (Gauteng, Braamfontein Regional Office)",Mujammito Investments,4592.81,Once-Off ,2020-06-25,Level 1,100%,100%,0%,0%,OR -027553,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,46,Appointment of service provider Mujammito Investment to supply and deliver 1 single bed/ mattress complete lo the DMRE office (North- West Rustenburg Regional Office),Mujammito Investments,4592.81,Once-Off ,2020-06-25,Level 1,100%,100%,0%,0%,OR-027554,Delivered 
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,47,"Appointment of service provider Tshbanyana Engineering & Projects to sanitize and disinfect the DMRE offices in the Free State, Welkom for a period of six months.",Tshbanyana Engineering & Projects,86334.00,Six months,2020-07-10,Level 1,100%,100%,0%,0%,OR-027572,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,48,Appointment of service provider Tlolo Moroung (Pfy) Ltd. to sanitize and disinfect two DMRE in the Northen Cape for a period of six months. ,Tlolo Moroung (Pfy) Ltd,313857.00,Six months,2020-07-08,Level 1,100%,100%,0%,0%,OR-027571,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,49,Appointment of service provider Nice Flower Trading to santtize and disinfect DMRE offices in the Eastern Cape for a period of six months. ,Nice Flower Trading 39,358320.00,Six months,2020-07-08,Level 1,100%,100%,0%,0%,OR- 027573,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,50,"Appointment of service provider Lekepa Projects to sanitize and disinfect DMRE offices In Limpopo, Landorss Mare office at an amount of R39 414,00 and Maponya Investment Building al an amount of R133416 00",Lekepa Projects ,172830.60,Six months,2020-07-08,Level 1,100%,100%,0%,0%,OR -027574,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,51,"Appointment of service provider Afrigrowth Investments to sanitize and disinfect DMRE offices in Cape Town, Constitutuonal House - 466 m2 and Atterbury House - 1950 m2 - both for a period if six months, twice a month at an amount of R158616.00.",Afrigrowth Investments,158616.00,Six months,2020-07-08,Level 1,100%,0%,51%,0%,OR- 027564,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,52,"Appointment of service provider Matsediso Group to sanitize and disinfect DMRE offices KwaZulu - Natal, Durban Regional Office for a Miriod of six months twice a month.",Matsediso Group,56826.72,Six months,2020-07-18,Level 1,100%,100%,0%,0%,,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,53,"Appointment of service provider Awc:rete (Pty) Lid. to sanitize and disinfect DMRE offices, Gautang Head offices Trevena Campus on 70 Mentjies & Francis Baard street, Landbank Matimba Building on Visagia street and Cnr. De Korte & De Beer streets, Braamfontein twice a month for a period of six monlhs at an amount of R397 972,44.",Awcrete (Pty) Ltd,397972.44,Six months,2020-06-10,Level 1,100%,0%,0%,0%,OR-027544,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,54,"Appointment of service provider Pretenia (Ply) Ltd. to sanitize and disinfect DMRE offices in Mpumalanga, Witbank Regional office twice a month for a period of six months ",Pretenia (Pty) Ltd. ,158699.86,Six months,2020-06-18,Level 1,100%,100%,100%,0%,,Ongoing
Department of Mineral Resources and Energy (DMRE),BUILDINGS SANITIZATION CONTRACTS ,55,"Appointment of service provider Clean 4 U and Hygiene services to sanitize and disinfect DMRE offices In North West, Klerksdorp, Mafikeng and Rustenburg regional offices twice a month, for a period of six months at an amount of R98 874 00.",Clean 4 U Hygiene Services,98874.00,Six months,2020-06-10,Level 1,100%,20%,60%,0%,OR- 027543,Ongoing
Department of Mineral Resources and Energy (DMRE),Once-off services,56,"Appointment of service provider Khehlalami General Supply & Cleaning to supply and instan 110cm x 80cm protective clear acrylic plexiglass shield countertop for reception deskS in the DMRE offices, Polokwane (03), Cape Town ConstHuitional House (03), East London (03), Mmabatho and Mafikeng (02), Durban (07), Kimberly (05), Matlmba House (05), Welkom (03), Port Elizaberlh (02), cape Town Atterbury (03), Trevena Campus (05), Witbank (02), Klerksdorp (03) and Witbank Absa Building (02)",Khehlalami General & Supply,86400.00,Once-Off ,2020-07-27,Level 1,100%,100%,0%,0%,,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,57,Appointment of service provider Mintek to supply and deliver washable masks hand and surface sanitizers to the DMRE offices. ,Mintek ,144700.00,Once-Off ,2020-08-03,Level 8,0%,0%,0%,0%,OR-027643,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,58,Appointment of service provider Today's Destiny to supply and deliver 1 single base/mattress complete to the DMRE offices in the Northern Cape.,Today's Destiny Trading & Projects 195,7600.00,Once-Off ,2020-07-10,Level 1,100%,0%,0%,0%,OR-027576,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,59,Appointment of service provider Golden Rewards to supply and deliver 1 single base / mattress to the DMRE offices in the Western Cape office.,Golden Rewards,2873.85,Once-Off ,2020-07-10,Level 1,100%,0%,0%,0%,OR-027577,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,60,Appointment of service provider Epicnoses to supply and deliver 1 single base / mattress complete to the DMRE offices in Welkom regional office Free State.,Epicnoses,3999.00,Once-Off ,2020-07-10,Level 1,100%,100%,100%,0%,OR- 027579,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,61,Procurement of Sanitizers (500ml and 25Litre (Gel and Liquid) for Matimba Building,"Unitrade Medical, Surgical and Cleaning Supplies",109658.25,Once-Off ,2020-08-06,Level 1,100%,0%,100%,0%,OR- 027645,Delivered 
