buyer_name,implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
Department of Justice and Constitutional Development, NPA Head Office,2020-03-24,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER x 5000 - 500ml,60.75,5,5,303750,None
Department of Justice and Constitutional Development, NPA Head Office,2020-03-25,SHANEAL DISTRIBUTORS,SANITIZER - 23 x 5LT and 4600 X 100ML,177100,,"23 X5LT
 4600 X 100ML",177100,None
Department of Justice and Constitutional Development, NPA Head Office,2020-04-14,ARJO HUNTLEIGH SOUTH AFRICA,SICK BEDS x 15,1565.3,15,15,23479.5,None
Department of Justice and Constitutional Development, NPA Head Office,2020-04-20,Imperial Health Sciences,PPE - FACE SHIELDS,9,5,5,45000,None
Department of Justice and Constitutional Development, NPA Head Office,2020-05-15,T M C TRADING,NON-CONTACT INFRARED THERMOMETERS,,9,,15192.45,None
Department of Justice and Constitutional Development, NPA Head Office,2020-01-07,Decontimination of offices,Decontamination,,,0,94522.4,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Sanitiser Liquid 5Lt,545.1,10,10,5451,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Latex gloves,1454.75,1,1,1454.75,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Latex gloves,1454.75,1,1,1454.75,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-03-19,REBOSIS PROPERTY FUND,Sanitiser Spray Bottles - 100ml,49.45,900,900,44505,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-03-25,REBOSIS PROPERTY FUND,Hand Sanitisers,177.1,5,5,885.5,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-03-26,REBOSIS PROPERTY FUND,Sanitiser Sachets (100X2ml),431.25,37,37,15956.25,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-01-04,REBOSIS PROPERTY FUND,Surface Disinfectant,34.5,500,500,17250,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-01-04,REBOSIS PROPERTY FUND,Knapsack Sprayer Batery,2760,2,2,5520,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-01-05,REBOSIS PROPERTY FUND,3 Ply Face Masks,40.25,600,600,24150,None
Department of Justice and Constitutional Development, NPA Head Office - AFF,2020-07-05,REBOSIS PROPERTY FUND,Hand Sanitizer Station without bottle,782,10,10,7820,None
Department of Justice and Constitutional Development, NPA Head Office - AFU,2020-03-23,Crystal Medical Supplies,Hand Sanitizer,30,25,25,750,None
Department of Justice and Constitutional Development, NPA Head Office - AFU,2020-03-23,Crystal Medical Supplies,Liquid Soap,60,20,20,1200,None
Department of Justice and Constitutional Development, NPA Head Office - SOCA,2020-05-19,ARISING VISONARIES,HAND SANITIZERS x 220,,,,23100,None
Department of Justice and Constitutional Development, NPA Head Office (HR),2020-07-05,BAITSEKAGO PROJECTS,DIGITAL INFRARED NON-CONTACT THERMOMETER,,,,76500,None
Department of Justice and Constitutional Development, NPA Head Office (HR),2020-05-19,EKHAYA INVESTMENTS,RE-USABLE FACE MASKS - GAUTENG - VGM,,,,62748,None
Department of Justice and Constitutional Development, NPA Head Office (HR),2020-05-25,SINGULARITY TRADING COMPANY,SANITIZERS x 709 - VGM,,,,201356,None
Department of Justice and Constitutional Development, OWP Eastern Cape,2020-03-18,DIS-CHEM PHAMARCY,Latex Gloves,3.5,24,24,84,None
Department of Justice and Constitutional Development, OWP Eastern Cape,2020-03-18,DIS-CHEM PHAMARCY,Surgical Spirit,17.95,4,4,71.8,None
Department of Justice and Constitutional Development, OWP Eastern Cape,2020-03-18,DIS-CHEM PHAMARCY,Wet Wipes,34.95,,2 packs,69.9,None
Department of Justice and Constitutional Development, OWP Eastern Cape,2020-03-19,DASH DISTRIBUTORS,Hand Saniters,370,,20 x5L,7400,None
Department of Justice and Constitutional Development, OWP Eastern Cape,2020-04-16,M F EMBROIDERY,Material Face Masks,22,62,62,1364,None
Department of Justice and Constitutional Development, OWP Eastern Cape,2020-04-29,M F EMBROIDERY,Material Face Masks,22,85,85,1870,None
Department of Justice and Constitutional Development, OWP Free State,2020-02-04,Dischem,EP004 Disposable Masks,50,60,60,2997,None
Department of Justice and Constitutional Development, OWP Free State,2020-04-29,MI Touto,Masks - Re-usable,20,35,35,700,None
Department of Justice and Constitutional Development, OWP Free State,2020-04-29,Ppppie Botha,Masks - Re-usable,20,26,26,520,None
Department of Justice and Constitutional Development, OWP Gauteng,2020-03-17,TNT Pest control,Masks,17,400,400,6800,None
Department of Justice and Constitutional Development, OWP Gauteng,2020-03-17,4M Chemicals,Hand Disinfectant 70% A,60,100,100,6000,None
Department of Justice and Constitutional Development, OWP Gauteng,2020-03-17,4M Chemicals,Gloves,150,20,20,3000,None
Department of Justice and Constitutional Development, OWP Gauteng,2020-03-17,4M Chemicals,Alcahol,,,,,None
Department of Justice and Constitutional Development, OWP Gauteng,2020-03-17,4M Chemicals,Antibacterial Surface,,,,,None
Department of Justice and Constitutional Development, OWP Gauteng,2020-03-17,4M Chemicals,cleaner 70% Alcohol,183,5,5,915,None
Department of Justice and Constitutional Development, OWP Head Office,2020-11-05,SHANEAL DISTRIBUTORS,INFRARED NON-CONTACT THERMOMETERS,,,,63000,None
Department of Justice and Constitutional Development, OWP Head Office,2020-09-06,ROYAL TREAT TRADING,RE-USABLE FACE MASKS x 2000,,,,45800,None
Department of Justice and Constitutional Development, OWP Head Office,2020-12-06,BLENDED OAKS,FOOT PEDAL HAND SANITIZER STAND - FREE STATE OFFICE,,,,1043.8,None
Department of Justice and Constitutional Development, OWP Head Office,2020-06-19,DJ MONTOYA TRADING AND PROJECTS,"MULTI SANITIZERS FOR AIR, HAND AND SURFACE",,,,37647,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Masks,775,10,10,7750,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Gloves - Medium,125,25,25,3125,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Gloves - Large,135,25,25,3375,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Hand Disinfectant,100,500,500,50000,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-19,Industro-Clean Natal,Spray bottles 400 x 250ml,28.75,400,400,11500,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-19,"Mediquick Pharmacy, Overport",Hand Sanitizer 1065 X 500ml bottles,1065,"1,065","1,065",106500,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-19,Mediquick Pharmacy,Hand Disinfectant,100,"1,065","1,065",106500,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-20,Industro Clean,Spray Bottles,28.75,400,400,11500,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-23,"Mediquick Pharmacy, Overport",Hand Sanitizer 1000 X 500ml bottles,100,1,1,100000,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-03-23,Mediquick Pharmacy,Hand Disinfectant,100,1,1,100000,None
Department of Justice and Constitutional Development, OWP Kwazulu Natal,2020-05-20,Yaweh Civil & Gen,Face Mask - 3 Ply,38,114,114,4332,No Branding on item
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,Jumbo Cash and Carry,DETTOLS,32.2,60,60,1932,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,Jumbo Cash and Carry,SOAPS (LIFEBUOY),8.91,240,240,2138.4,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,Jumbo Cash and Carry,HAND WIPES,18.16,60,60,1090.8,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,Jumbo Cash and Carry,JIK,20.33,120,120,2439.6,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,Jumbo Cash and Carry,SUNLIGHT LIQUID,25.55,120,120,3066,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,HAWKERS CITY,GLOVES,45,10,10,450,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,HAWKERS CITY,MASKS,34.99,30,30,1049.7,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,HAWKERS CITY,SPRAY BOTTLES,19.99,20,20,399.8,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-03-20,HYCHEM,SPRAY BOTTLES,28.06,20,20,441.2,None
Department of Justice and Constitutional Development, OWP Limpopo,2020-06-05,JILOMI EXPRESS PRINTERS CC,FACE MASKS,35,142,142,4900,NONE
Department of Justice and Constitutional Development, OWP Mpumalanga,2020-03-17,MACARENA CASH AND CARRY,GLOVES EXAMINATION,100,3,3,340,None
Department of Justice and Constitutional Development, OWP Mpumalanga,2020-03-18,OVERALL AND GENERAL,GLOVES EXAMINATION,172.5,7,7,1207.5,None
Department of Justice and Constitutional Development, OWP Mpumalanga,2020-03-18,CASHBUILD,MASKS,69.95,4,4,279.8,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-04-01,Razaanah Toffar,Hand Sanitizers 5l,650,5,5 bottles,3250,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-03-18,Dis-Chem Kimberley Pharmacy,Hand Sanitizers,29.95,,6 bottles,179.7,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-03-18,Libra Pharmacy,A/Clin Gloves PWD 100 M,107.95,,2 boxes,215.9,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-03-18,Libra Pharmacy,A/Clin Gloves Nitrile Small,148.95,,1 box,148.95,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-03-25,ACL Supplies,Latex Gloves Powder Free,120,,10 boxes,1200,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-03-25,ACL Supplies,Surgical Face Masks,2000,,2 boxes,4000,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-03-25,ACL Supplies,Alcohol Hand Sanitizers 5l,780,20,20 bottles,15600,None
Department of Justice and Constitutional Development, OWP Nortern Cape,2020-04-29,KC's Kimberley Clothing,Material Face Masks,25,42,42 masks,1050,None
Department of Justice and Constitutional Development, OWP North West,2020-04-30,Pienk Pilletjies,Masks - re-useable,25,80,80,2000,None
Department of Justice and Constitutional Development, OWP Western Cape,2020-09-04,AFRICAN BRANDS TRADING,3PLY SURGICAL FACE MASKS,28,200,200,5600,None
Department of Justice and Constitutional Development, OWP Western Cape,2020-04-16,PICK AND PAY,CLOTH FACIAL MASKS,20,200,200,4000,None
