buyer_name,items_description,procurement_method,supplier_name,company_registration_number,award_date,cost_per_unit_zar,items_quantity,order_amount_zar
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,"Disposable surgeons protective face Mask 3/PLY,boxes",Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,1250.00,8,10000.00
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,Surgical gloves box,Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,195.00,10,1950.00
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,25 litres of snaitiser,Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,2392.00,5,11960.00
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,500ml spray bottles,Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,65.00,10,650.00
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,25 litres hand washing soap,Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,2042.00,5,10210.00
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,Hand Drying Paper towels,Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,140.00,24,3360.00
National Agricultural Marketing Council:Kwazulu Natal -NRMDP,Temperature Screeing device,Quotations,Mantomela development (Pty) Ltd,2016/308743/07,2020-07-15,1200.00,7,8400.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,Cloth face masks (3 layers of fabric,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,25.00,180,4500.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,Boxes of disposable surgeon Protective face Mask (3 ply 50 face Masks,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,420.00,26,10920.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,Boxes Surgical gloves,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,190.00,14,2660.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,CFP mobile Houses,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,1360.00,12,16320.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,500 ml spraying bottles,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,35.90,20,718.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,Hand Drying paper towels,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,190.00,39,7410.00
National Agricultural Marketing Council: Eastern Cape - NRMDP,Temparature screening device,Quotations,Velvet agricultural Solutions Pty Ltd,2019/237209/07,2020-07-09,1050.00,15,15750.00
