NAME OF SUPPLIER ,00 TOTAL ( R)
EJ & ASSOCIATES,"90,000.00"
EKWE CONSTRUCTION,"90,000.00"
ENHLE HOPE SOLUTIONS (PTY)LTD,"90,000.00"
ENTLE 44 TRADING,"90,000.00"
GAKEPATWE HOLDINGS,"90,000.00"
GARY'S HOLDING,"90,000.00"
GOTYANAVEU,"90,000.00"
GUBULA TRADING,"90,000.00"
HUNTERCY,"90,000.00"
ILINGE-LAMAZONDI (PTY)LTD,"90,000.00"
IMBHOKODONC,"90,000.00"
JAJ GEN.SERVICES,"90,000.00"
JMP MANUFACTURING,"90,000.00"
JNB MARKETING,"90,000.00"
JULIA HOLDINGS,"90,000.00"
K2018,"90,000.00"
KARIN'S CATERING,"90,000.00"
KBY GENERAL TRADING,"90,000.00"
KEBAKANTSE SUPPLIES AND TRADING,"90,000.00"
SHAW TRANSPORT AND LOGISTICS,"90,000.00"
SHINE THE WAY 1302 CC,"90,000.00"
SOTHEMBELA,"90,000.00"
SUPA VOLT TECH,"90,000.00"
TANEALS,"90,000.00"
TEHO GENERAL TRADING,"90,000.00"
THAMSHANQA TRADING,"90,000.00"
THE TRAVELING ROSE,"90,000.00"
TLHOPS N MORE TRADING,"90,000.00"
TRI-ME ENTERPROZE,"90,000.00"
TSA GAETSHO TRADING,"90,000.00"
TUMI BADIRWANG HOLDING,"90,000.00"
UPTOWN PROJECTS,"90,000.00"
WOTEX INVESMENT,"90,000.00"
ZBC TRADING,"90,000.00"
ZITHABO ENTERPRISE (PTY)LTD,"90,000.00"
WINTERS KITCHEN,"89,982.00"
EKAMALUSI ENTERPRISES,"89,750.00"
IPOPENG MULTI-PURPOSE PRIMARY CO,"60,000.00"
365 LEGACY ENTERTAINMENT,"45,000.00"
AMBITIOUS BUSINESS SOLUTIONS,"45,000.00"
AMOR DE DIOS TRADERS,"45,000.00"
ANERVI,"45,000.00"
AZZURI CONNEXIONS,"45,000.00"
BAROLONG BATHO PTY LTD - QUOTE 1,"45,000.00"
BLUE AQUARIAN,"45,000.00"
BNK ENTERPRISES,"45,000.00"
MOKOPAREDI TRADING AND PROJECT,"90,000.00"
MOR-O-LONG VENTURES,"90,000.00"
MOSIKATSE TRADING AND CONSTRUCTION,"90,000.00"
MOUCKS TRADING & INVESTMENTS,"90,000.00"
NDAYENI GENERAL,"90,000.00"
NGOBUBELE CONSTRUCTION,"90,000.00"
NOBULAS HOLDINGS,"90,000.00"
NOLWAZI CATERING,"90,000.00"
NOVANDISITHINI GENERAL TRADING,"90,000.00"
OGONE M RESOURCES,"90,000.00"
OSHEBENG TRADING SERVICE,"90,000.00"
PHAKAMO LOGISTICS,"90,000.00"
PHAPHANG MNAGEMENT,"90,000.00"
PHENDUKANA LEGACY,"90,000.00"
PRUDAAN TRADING PTY,"90,000.00"
R&B SUPPLY,"90,000.00"
R&S AMBITION TRADING,"90,000.00"
REAMOGETSE KARABO (PTY) LTD,"90,000.00"
REMONA'S CATERING,"90,000.00"
REMOTLOTLO CATERING  EVENTS,"90,000.00"
REYA PELE HOLDINGS,"90,000.00"
RISKI BOY EVENTS & SUPPLY,"90,000.00"
SATTELITE MUSIC,"90,000.00"
SEBENZA GEN.&MED SERV,"90,000.00"
SEBUSENG SUPPLY  & TRANSPORT SERVICES,"90,000.00"
SEGWANENG TRADING,"90,000.00"
SETSE TRADING,"90,000.00"
MARUPING AGENCY,"45,000.00"
MEREITSILE TRADING,"45,000.00"
MICACLUS,"45,000.00"
MLISA CATERING AND TRADING ENTERPRISE,"45,000.00"
MPOTSANG NC TRADERS,"45,000.00"
MZA GENERAL TRADING,"45,000.00"
NAMISA SOLUTION,"45,000.00"
NCHUTELANG HOLDINGS,"45,000.00"
NDZ DEVELOPMENT,"45,000.00"
NDZILANE TRADING,"45,000.00"
NOMANTLE HOLDINGS,"45,000.00"
NUBIAN TOUCH PROJECTS,"45,000.00"
O SEDUMEDI TRANSPORT SERVICES,"45,000.00"
OBCO PTY LTD,"45,000.00"
OMOLEMO MPHOENTLE,"45,000.00"
OMPHEMETSE KAMOHAU ENTERPRISES,"45,000.00"
PS PHATSINO TRADING PTY LTD,"45,000.00"
RATISINO TRADING,"45,000.00"
RATSOTELLA (PTY) LTD,"45,000.00"
REABETSWE KABELO GENERAL TRADING,"45,000.00"
REMORATILE GENERAL TRADING,"45,000.00"
SETLHARE PTY,"45,000.00"
SISTERWOOD TRADING & INVESTMENT,"45,000.00"
SIZWE AND KGATLISO  INVESTMENTS,"45,000.00"
SMIX SUPPLY ENTERPRISE PTY LTD,"45,000.00"
SULBRICK KIMBERLEY CC,"45,000.00"
TARCAD TRADING,"45,000.00"
BOBBI TRADING,"45,000.00"
BP KKK INVESTMENTS,"45,000.00"
CALANTRA TRADING 655 CC,"45,000.00"
CAREY GROUP,"45,000.00"
CONLOW GENERAL,"45,000.00"
COSMIC FORCE HOLDINGS,"45,000.00"
DICHRI CONSTRUCTIONS,"45,000.00"
DKL 82 INVESTMENT,"45,000.00"
ECO-FRIENDLY CLEANERS PTY LTD,"45,000.00"
ELSKANEX,"45,000.00"
FERRIS AND CO,"45,000.00"
FST TRADING AND BUSINESS ADMINISTRATION,"45,000.00"
GLOBAL WILL POWER,"45,000.00"
GOSIAME SUPPLIER AND CONSTRUCTION,"45,000.00"
JR ENGELBRECHT CONSULTING,"45,000.00"
K -ENTLE TRADING ENTERPRISE,"45,000.00"
K&J ENDEAVOUR,"45,000.00"
K2017398249(SOUTH AFRICA),"45,000.00"
KATLEGHO ENTERPRISE,"45,000.00"
KDEE BUSINESS SOLUTIONS,"45,000.00"
KONOPO FAMILY BUSINESS,"45,000.00"
KWA DEKE CONSTRUCTION,"45,000.00"
LESHOMO PROJECTS,"45,000.00"
LETLHOGONOLO & TSHEPISO,"45,000.00"
MAGGIE MABEL GEN TRADING,"45,000.00"
MAMZO CATERING,"45,000.00"
MARANG A LESEDI,"45,000.00"
TLHONEP BUSINESS SOLUTION,"45,000.00"
TOLLERANZA PIETA,"45,000.00"
ULTIMO SOLUTIONS,"45,000.00"
ZIKHO PROJECTS (PTY) LTD,"45,000.00"
RC DUNDEE,"12,000.00"
THE FAVORED GOVERNMENT TRADING,"45,000.00"
THEPA TRADING 646CC T/A MOJALEFAS,"45,000.00"
THOKOZA 71 PTY,"45,000.00"
TIMLA TRADING ENTERPRISE PTY LTD,"45,000.00"
TLHAPING INVESTMENT,"45,000.00"
