buyer_name,implementation_location_province,Place,items_description,supplier_name,order_amount_zar
"Northern Cape Department of Co-operative Governance, Human Settlements and Traditional Affairs (COGHSTA)",Northern Cape,COGHSTA,CLEANING OFFICES,PRIDEROCK INDUSTRIES,9777.10
"Northern Cape Department of Co-operative Governance, Human Settlements and Traditional Affairs (COGHSTA)",Northern Cape,COGHSTA,CLEANING OFFICES,PRIDEROCK INDUSTRIES,9777.10
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep cleaning of offices Patkamp,A-Z DISTRIBUTORS,31605.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep cleaning of offices Head office,A-Z DISTRIBUTORS,65895.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep cleaning of offices JTG Reginal Office,MOHINA,1465.10
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep cleaning of offices Mothistad Traffic Station,MOHINA,6054.75
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep cleaning of offices Olifantshoek Prov Office,MOHINA,1136.20
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Deep cleaning of Delportshoof Prov Office,"KEMOAGILE CONSTRUCTION
MANAGEMENT",1138.80
"Northern Cape Department of Agriculture, Land Reform and Rural Development (DALRRD)",Northern Cape,Agriculture,"Deep cleaning,disinfecting and sanitizing",NAMOLO GENERAL TRADING,766132.00
"Northern Cape Department of Agriculture, Land Reform and Rural Development (DALRRD)",Northern Cape,Agriculture,"Deep cleaning,disinfecting and sanitizing",TEMA INVESTMENTS (PTY) LTD,691981.00
Northern Cape Department of Roads and Public Works,Northern Cape,Roads & Public Works,CLEANING,MOHINA SOLUTIONS,127087.05
Northern Cape Department of Roads and Public Works,Northern Cape,Roads & Public Works,CLEANING,MASEDI STAR,287509.20
Northern Cape Department of Roads and Public Works,Northern Cape,Roads & Public Works,CLEANING,BEST ENOUGH TRADING AND PROJECTS,110048.82
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Richmond Prov Office,KEMOAGILE CONSTRUCTION,610.56
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Pixley Building,"KEMOAGILE CONSTRUCTION
MANAGEMENT",1360.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting (traveling and accommodation coss),"KEMOAGILE CONSTRUCTION
MANAGEMENT",66601.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Jan KempPdorp,"KEMOAGILE CONSTRUCTION
MANAGEMENT",3080.00
"Northern Cape Department of Transport, Safety and Liaison",Northern Cape,"Transport, Safety and Liaison",Disnfecting of Jan KempPdorp,"KEMOAGILE CONSTRUCTION
MANAGEMENT",1381.80
