EDTEA,,2020/07/16 | Cleaning,,Fagging,6.Fogging/ Sanitization (Offices)- Dundee Umzinyathi District Office-,square m x6months,R345 2832,"R® 770,40 Rainbow Moon Service",,,,
,,,,,6 month contract (472},,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fagging,7.Fogging/ Sanitization (Offices)- Vryheid Zululand District Office,- square m x6months,"R345 3066 =| R10 577,70",Rainbow Moon Service,,,,
,,,,,6 month contract (511},,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fagging,8.Fogging/ Sanitization (Offices)-Port Shepstone Ugu,District Office - square m x6months,"R345 2838 | R9791,10",Rainbow Moon Service,,,,
,,,,,6 month contract (473},,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,9.Fogging/ Sanitization (Offices)- Newcastle Amajuba District Office-,square m x6months,R345 5742,"| R19 809,90 Rainbow Moon Service",,,,
,,,,,6 month contract (957),,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,10.Fogging/ Sanitization (Offices)- Stanger llembe District Office,- square m x6months,R345 4698,"| R16 208,10 Rainbow Moon Service",,,,
6 month contract (783),,,,,,,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,11.Fogging/ Santtization (Officas)- Richards Bay King Cetshwayo District Office,- square m x6months,R345 3370,"| R11 625,06 Ralnbow Moon Service",,,,
,,,,,6 month 1.598),,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,12.Fogging/ Santtization (Officas)- Ixopo Harry Gwala Human Settlement District,square m x6months,R345 2418,"| RB 342,10 Ralnbow Moon Service",,,,
,,,,,Office - 6 month contract{403),,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,13.Fogging/ Santtization (Offices)- Ixopo Harry Gwala District Office,- square m x6months,"R345 2370 | R8 176,50",Ralnbow Moon Service,,,,
,,,,,6 month contract (395),,,,,,,
EDTEA,,2020/07/16,| Cleaning,Fogging,14.Fogging/ Santtization (Offices}- Umkhanyakude District Office,- square m x6months,"R4,26 24000 | R102 120,00",Rainbow Moon Service,,,,
,,,,,6 month contract(4000),,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,15.Fogging/ Santtization (Offices)- Environment World Heritage Site and,square m x6months,"R4,60 6000","| R27 600,00 Ralnbow Moon Service",,,,
,,,,,l District Office,- 6 month contract ( 1000),,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,16.Fogging/ Sanitization (Offices)- Umgungundlovu District Office,- square m x6months,"R2,30 §228","| R12 023,25 Rainbow Moon Service",,,,
,,,,,6 month contract (871.25),,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,41.Fogging/ Sanitization (Vehicles}-Head,Office- 6 month contract x 35 vehicles each x 6 months,"R92,00 210","R18 320,00 Rainbow Moon Service",,,,
,,2020/07/16 | Cleaning,,Fogging,2.Fogging/ itization (Vehicles)-Umgungu District Cascades x 14,gach x 6 months,"R92,00 84","R? 728,00 Rainbow Moon Service",,,,
,,,,,,,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,3.Fogging/ Sanitization (Vehicles)}-llembe- 6 month contractx,5 each x 6 months,"R82,00 30","R2 760,00 Rainbow Moon Service",,,,
,,2020/07/16 | Cleaning,,Fogging,4.Fogging/ jitization (Vehicles)}-Amajuba-,6 month contractx 7 each x 6 months,"R92,00 42","R3 864,00 Rainbow Moon Service",,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,5.Fogging/ Sanitization (Vehicles)-Mzinyathi-,6 month contract x 7 each x 6 months,"R82,00 42","R3 864,00 Rainbow Moon Service",,,,
,,2020/07/16 | Cleaning,,Fogging,6.Fogging/ ¢,;)-Uthukela- 6 month contract x 7 each x 6 months,"R92,00 42","R3 864,00 Rainbow Moon Service",,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,7.Fogging/ Sanitization (Vehicles)}-Ugu-,6 month contractx 8 gach x 6 months,"Rg2,00 48","R4 416,00 Rainbow Moon Service",,,,
,,2020/07/16 | Cleaning,,Fogging,8.Fogging/ ¢,;)-Office of the MEC- 6 month contract x 8 each x 6 months,"R92,00 43","Ré 416,00 Rainbow Moon Service",,,,
,,,,,,,,,,,,
EDTEA,,2020/07/16 | Cleaning,,Fagging,9.Fogging/ Sanitization (Vehicles)-Ethekwini-,6 month contract x 8 each x 6 months,"Ra2,00 48","R4 416,00 Rainbow Moon Service",,,,
EDTEA,,2020/07/16 | Cleaning,,Fogging,10.Fogging/ ¢,)-Ulund- 6 month contract x 6 each x 6 months,"R115,00 «6","Ré 140,00 Ralnbow Moon Service",,,,
EDTEA,,2020/07/16 | Cleaning,,Fagging,11.Fogging/ Sanitization (Vehicles)-Richards Bay-,6 month contract x 7 each x 6 months,"R92,00 42","R3 864,00 Rainbow Mosn Sarvice",,,,
EDTEA,,2020/07/16,| Cleaning,Fogging,12.Fogging/ ¢,)-Jozin- 6 month contract each x 6 months,"R115,00 xB","R4 140,00 Rainbow Moon Service",,,,
EDTEA,,2020/07/16 | Cleaning,,Fagging,13.Fogging/ Sanitization (Vehicles)-Ixopo- 6 month contract x,8 each x 6 months,"R92,00 48","R4 416,00 Rainbow Moon Service",,,,
,,,,,,,Ct,,,,,
,,py PRODUCT,,,DESCRIPTION,ei,Cla att poly Mad,ORDER AMT eS,,,,
INSTITUTION,,OF AWARD,,,,bei,IN RANDS (Incl. VAT) UT Pe ey,,,,,
Education  Sanitizers,,,Sanitize r,500ml,liquid saniti zer  §00ml,,"R135,00  R202 500,00",African Grey Trading,,,,
Education,,2020/03/25 Sanitizers,Sanitizer,5L liquid sanitiser,,5|,"R980,00 200","R196 000,00 African Grey Trading",,,,
,,2020/03/25 Dk,Pump,500ml Spray bottle pump,,500ml,"R29,00 500","R14 500,00 African Grey Trading",,,,
,,iti,Sanitizer,20L Liquid Spray,,201,"R1 800,00 15","R27 000,00 African Grey Trading",,,,
,,2020/03/25 Masks,Mask (SI,Face masks surgical 3ply,,pack of 10,"R60,00. 400","R24 000,00 African Grey Trading",,,,
,,Gloves,Gloves,Hand gloves 100 per box,,100 per box,"R175,00 200","R35 000,00 African Grey Trading",,,,
,,iti,Sanitizer,500 mi,Liquid sanitiser,500m!,"R130,00 1000","R130 000,00 Makatini Siba (Pty) Ltd",,,,
,,,Sanitizer,25L Hand Sanitiser SABS Approved,,251,"R2 500,00 80","R200 000,00 Oshlanga",,,,
Education,,,Sanitizer,Hand Sanitiser 500m!,,500m!,"R115,90 1600","R185 440,00 Si i Trading 622 CC",,,,
i,,,Sanitizer,Hand Sanitiser 5L,,5I,"R1 159,00 200","R231 800,00 Sebenzani Trading 622 CC",,,,
Education,,2020/04/07 Sanitizers.,Sanitizer,45L liquid hand sanitizer,,Sl,"R546,25 900","R491 625,00 AfriVision",,,,
i,,Masks,Mask,3 Ply Face Masks,,pack of 10,"R28,75 17300","R497 375,00 LicnHead Projects",,,,
Education,,2020/03/31 Gloves,Gloves,Latex Hand Gloves,,100 per box,"R230,00 699","R160 770,00 LionHead Projects",,,,
,,2020/04/01 Sanitizers,Sanitizer,Liquid sanitiser 500ml,,00m!,"R139,00 700","R97 300,00 Office Code",,,,
2020/04/01,,Masks,Mask,Masks  pack of,,10,"R59,50 5000","R297 500,00 Office Code",,,,
,,2020/04/01 Gloves,Gloves,Gloves,,100 per box,"R340,80 250","R85 200,00 Office Code",,,,
,,iti,Sanitizer,Liquid sanitizer 500ml,,500ml,"R72,60 450","R32 670,00 Upward Spiral 1519 cc",,,,
,,,,,,,,,,,,
,,,Sanitizer,Uquid sanitizer SL,,4l,"R370,20 35","R12 957,00 Upward Spiral 1519 cc",,,,
Education,,,Sanitizer,Liquid sanitizer 100ml,,100mI,"R34,20 340","R11 628,00 Upward Spiral 1519 cc",,,,
,,,Sanitizer,Liquid sanitizer 200mi,,200m!,"R67,00 192","R12 864,00 Upward Spiral 1519 cc",,,,
,,2020/04/06 Masks,Mask,Face masks Surgical 3PLY,,pack of 10,"R55,00 8000","R440 000,00 Trading",,,,
,,Dis,Pump.,12L Hand pump,,121,"R1 295,00 50","R64 750,00 Nkosi Africa Projects",,,,
,,Dis,Pump,16L Hand pump,,161,"R1 895,00 30","R56 850,00 Nkosi Africa Projects",,,,
,,Dis,Pump.,5L Hand pump,,51,"R&50,00 50","R42 500,00 Nkosi Africa Projects",,,,
,,,Sanitizer,5L Hand sanitiser,,51,"R975,00 300","R292 500,00 Nkosi Africa Projects",,,,
,,,Sanitizer,500m!,saniti,500m!,"R95,00. 10","R950,00 African Grey Trading",,,,
,,Gloves,Gloves,Box of gloves re-usable for cleaning,,Each,"R7,50 100","R750,00 African Grey Trading",,,,
,,Masks,Mask,Face masks,,Each,"R15,00 20","R300,00 African Grey Trading",,,,
,,iti,Disii,Powder Chlorine Disinfer  Each,,,"R115,90 265000","R30 713 500,00 | Si i Trading 622 CC",,,,
,,Other,Provide Details,Reflector jackects,,Each,"R385,92 30","R11 577,60 Oshlanga",,,,
Makab Suppllers (PTY) LTD,,,TI,Infrared Digital,TI,Each,"R2 300,00 200","R460 000,00",,,,
,,,,,,,,,,,,
,,2020/05/15,Disi,Disi,,5,"440,00 73200","R32 208 000,00 | Mavuka 010115 Trading",,,,
,,2020/05/15 Sanitizers,Disinfectant,Disinfectant,,51,"R106,00 292800","R31 036 800,00 | Sebenzanl Trading 622 CC",,,,
,,2020/05/15 Masks,Masks (Cloth),Masks,,Each,"R18,00 99147","R1 784 646,00 Trading",,,,
,,2020/05/15 Masks,Masks (Cloth),Masks,,Each,"R24,00 198294","R4 759 056,00 Business Enter",,,,
,,2020/05/15 Masks,Masks (Cloth),Masks,,Each,"R24,00 99147","R2 378 528,00 | Silo Group Holdings",,,,
,,2020/05/15 Masks,Masks (Cloth),Masks,,Each,"R24,00 1586355","R38 072 520,00 | The New Look",,,,
,,2020055 | PPE,‘Apron,Heavy Duty Aprons,,Each,"R185,00 24000","R4 440 000,00 | Ka-Myaluza (Pty) Ltd",,,,
,,2020/05/15 Dispensers,Pump.,Pumps.,,Each,"R1 749,15 19440","R34 003 476,00 | Alfrehutch Trading cc",,,,
Education,,2020/05/15 Dispensers,Pump.,Pumps.,,Each,"R1 700,00 4860","R8 262 000,00 | Thongwana Trading (Pty) Itd",,,,
Education,,2020/05/1 5 Sanitizers.,Sanitizer,San itizers (500ml),,500ml,"R69,57 244000","R16 975 080,00  | Logan Medical &  Surgical (Pty)",Ltd,,,
Education,,2020/05/15 Sanitizers,Sanitizer,Sanitizers,(Sit),SL,"R726,09 122000","R88 582 980,00 | Logan Madical & Surgical (Pty)",Ltd,,,
Education,,2020/08/15 | Sanitizers,Sanitizer,Sanitizers,(25it),25L,"R4 375,00 6300 | R27 562 500,00 |  Niki Yesizwe Proj ects (Pty) Ltd |",,,,,
i,,2020/05/15 iti,Sanitizer,,(25ity,25L,"Ré4 370,00 6300","R27 531 000,00 | Promed Te (Pty)",Ltd,,,
,,2020/05/15 Dit,Sanitizer Refill Bottles,Spray Bottles,,Each,"R11,50 148721","R1 710 291,50 | Army Project C SA",,,,
,,2020/05/15 Dis,Sanitizer Refill Bottles,Spray Bottles,,Each,"R24,00 347015","R8 328 360,00 | Azucare (Pty) Ltd",,,,
,,2020/05/15 PPE,Visor! Face-Shield,Visors,,Each,"R70,43 93720","R6 600 698,60 | Neostra ic Di",,,,
,,2020/05/15 PPE,Visor! Face-Shield,Visors,,Each,"R104,50 8680","R907 060,00 Ezutwinl Medical (Pty) Ltd",,,,
,,2020/05/15 PPE,Visor! Face-Shield,Visors,,Each,"R104,50 90000","R9 405 000,00 | 888 Business Solutions cc",,,,
,,2020/05/15. Sanitizers,Soap - Liquid,Liquid soap,,6,"R104,50. 91500","R9 561 750,00 | Izingodia Health",,,,
Education,,2020/05/15 Sanitizers,Soap - Liquid,Liquid soap,,5l,"R119,99 95161","R11 418 368,39 | Oshlanga Enterprise",,,,
