Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,MEASURING JUG 600ML,           19.00,1,                                 19.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 2.5L,             8 .50,1,                                   8.50,None
DPP Limpopo,3/20/2020,CLICKS PHARMACY POLOKWANE,FIRST AID MASK,           10.99,4,                                 43.96,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DISHWASHER 2L,           19.99,1,                                19.99,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DETTOL 250ML,           45.00,1,                                 45.00,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,BLEACH 750ML,           23.97,1,                                 23.97,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,SPRAY BOTTLE,           13.99,2,                                 27.98,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,           24.99,1,                                24.99,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,         130.00,1,                               130.00,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,           20.00,3,                                 60.00,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,DETTOL 250ML,          45.00,1,                                 45.00,None
DPP Limpopo,3/24/2020,CHARMERS,LH GKOVES BLUE BOX,         120.00,10,"                            1,200.00",None
DPP Limpopo,3/24/2020,OSBRO CASH & CARRY (PTY) LTD PLK,Spray bottles  50ml (CLEANING KIT),             5 .00,200,"                            1,000.00",None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,BLEACH 5L LIMI,          19.99,2,                                 39.98,None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,DISHWASHER 2L,           19.99,1,                                 19.99,None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,           24.99,2,                                 49.98,None
DPP Limpopo,3/24/2020,CITY HAWKERS POLOKWANE,DISHWASHER 5L,           49.99,2,                                 99.98,None
DPP Limpopo,3/25/2020,PICK N PAY,LARGE CARRIER BAG,             0 .60,3,                                   1.80,None
DPP Limpopo,3/25/2020,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,         130.00,3,                               390.00,None
DPP Limpopo,3/25/2020,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,           20.00,2,                                 40.00,None
DPP Limpopo,3/25/2020,RAZA BROARDWAY SUPERMARKET,JUMBO PLASTIC BENJI,             2 .00,1,                                   2.00,None
DPP Limpopo,3/25/2020,CHARMERS,PLASTIC BAG,             1 .00,1,                                  1.00,None
DPP Limpopo,3/25/2020,CHARMERS,SPRAY BOTTLE,             6 .00,2,                               120.00,None
DPP Limpopo,3/25/2020,CHARMERS,SPRAY BOTTLE,             6 .00,4,                                 24.00,None
DPP Limpopo,3/25/2020,CHARMERS,PLASTIC BAG,             1 .00,1,                                   1.00,None
DPP Limpopo,3/25/2020,PICK N PAY,SPIRIT VINEGAR WHITE,           24.99,1,                                 24.99,None
DPP Limpopo,3/25/2020,PICK N PAY,VINEGAR SPIRIT,           17.99,1,                                 17.99,None
DPP Limpopo,3/25/2020,PICK N PAY,DISHWASHER,           99.99,2,                               199.98,None
DPP Limpopo,3/25/2020,PICK N PAY,THIN BLEACH LEMON,           45.99,3,                               137.97,None
DPP Limpopo,3/25/2020,PICK N PAY,VINEGAR GRAPE,           31.99,1,                                 31.99,None
DPP Limpopo,4/15/2020,Mathosim Trimiming and Upholstery,reusable masks,           52.00,120,"                            6,240.00",None
DPP Limpopo,4/16/2020,The Inspired Bunny,reusable masks,          40.00,56,"                            2,240.00",None
DPP Limpopo,4/28/2020,The Inspired Bunny,reusable masks,           40.00,100,"                            4,000.00",None
DPP Limpopo,5/5/2020,THE INSPIRED BUNNY,2 PLY REUSABLE MASK,           40.00,56,"                            2,240.00",None
DPP Limpopo,5/20/2020,ZAUKHAKHATA TRADING AND PROJECTS,RE-USABLE FACE MASKS - LIMPOPO,,,"                            8,352.00",None
DPP Limpopo,5/25/2020,ARK PRINTERS AND STATIONERS,SANITIZERS x 261  - DPP LIMPOPO,,,"                         79,605.00",None
