Date,Description,Amount,Service Providers
18-19/03/2020,"Hand Sanitisers and LatexGloves",R1950.00,Wilgers Pharmacy
17/6/2020,Glass Dividers,R2 000.00,"Vuma OfficeSuppliers"
14/7/2020,Masks,R1 500.40,"DischemWonderboomJunction"
17/06/2020,V9 Rechargeable Batteries,R1920.00,Makro
