implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
 DPP Limpopo,2020-03-24,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,24.99,2,2,49.98,None
 DPP Limpopo,2020-03-24,CITY HAWKERS POLOKWANE,DISHWASHER 5L,49.99,2,2,99.98,None
 DPP Limpopo,2020-03-25,PICK N PAY,LARGE CARRIER BAG,0.60,3,3,1.80,None
 DPP Limpopo,2020-03-25,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,130.00,3,3,390.00,None
 DPP Limpopo,2020-03-25,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,20.00,2,2,40.00,None
 DPP Limpopo,2020-03-25,RAZA BROARDWAY SUPERMARKET,JUMBO PLASTIC BENJI,2.00,1,1,2.00,None
 DPP Limpopo,2020-03-25,CHARMERS,PLASTIC BAG,1.00,1,1,1.00,None
 DPP Limpopo,2020-03-25,CHARMERS,SPRAY BOTTLE,6.00,2,2,120.00,None
 DPP Limpopo,2020-03-25,CHARMERS,SPRAY BOTTLE,6.00,4,4,24.00,None
 DPP Limpopo,2020-03-25,CHARMERS,PLASTIC BAG,1.00,1,1,1.00,None
 DPP Limpopo,2020-03-25,PICK N PAY,SPIRIT VINEGAR WHITE,24.99,1,1,24.99,None
 DPP Limpopo,2020-03-25,PICK N PAY,VINEGAR SPIRIT,17.99,1,1,17.99,None
 DPP Limpopo,2020-03-25,PICK N PAY,DISHWASHER,99.99,2,2,199.98,None
 DPP Limpopo,2020-03-25,PICK N PAY,THIN BLEACH LEMON,45.99,3,3,137.97,None
 DPP Limpopo,2020-03-25,PICK N PAY,VINEGAR GRAPE,31.99,1,1,31.99,None
 DPP Limpopo,2020-04-15,Mathosim Trimiming and Upholstery,reusable masks,52.00,120,120,6240,None
 DPP Limpopo,2020-04-26,The Inspired Bunny,reusable masks,40.00,56,56,2240.00,None
 DPP Limpopo,2020-04-28,The Inspired Bunny,reusable masks,40.00,100,100,4000.00,None
