implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
 OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Hand Disinfectant,100.00,500,500,50000.00,None
 OWP Kwazulu Natal,2020-03-19,Industro-Clean Natal,Spray bottles 400 x 250ml,28.75,400,400,11500.00,None
 OWP Kwazulu Natal,2020-03-19,"Mediquick Pharmacy, Overport",Hand Sanitizer 1065 X 500ml bottles,1065.00,"1,065","1,065",106500.00,None
 OWP Kwazulu Natal,2020-03-19,Mediquick Pharmacy,Hand Disinfectant,100.00,"1,065","1,065",106500.00,None
 OWP Kwazulu Natal,2020-03-20,Industro Clean,Spray Bottles,28.75,400,400,11500.00,None
 OWP Kwazulu Natal,2020-03-23,"Mediquick Pharmacy, Overport",Hand Sanitizer 1000 X 500ml bottles,100.00,1,1,100000.00,None
 OWP Kwazulu Natal,2020-03-23,Mediquick Pharmacy,Hand Disinfectant,100.00,1,1,100000.00,None
 OWP Kwazulu Natal,2020-05-20,Yaweh Civil & Gen,Face Mask - 3 Ply,38.00,114,114,4332.00,No Branding on item
 OWP Limpopo,2020-03-20,Jumbo Cash and Carry,DETTOLS,32.20,60,60,1932.00,None
 OWP Limpopo,2020-03-20,Jumbo Cash and Carry,SOAPS (LIFEBUOY),8.91,240,240,2138.40,None
 OWP Limpopo,2020-03-20,Jumbo Cash and Carry,HAND WIPES,18.16,60,60,1090.80,None
 OWP Limpopo,2020-03-20,Jumbo Cash and Carry,JIK,20.33,120,120,2439.60,None
 OWP Limpopo,2020-03-20,Jumbo Cash and Carry,SUNLIGHT LIQUID,25.55,120,120,3066.00,None
 OWP Limpopo,2020-03-20,HAWKERS CITY,GLOVES,45.00,10,10,450.00,None
 OWP Limpopo,2020-03-20,HAWKERS CITY,MASKS,34.99,30,30,1049.70,None
 OWP Limpopo,2020-03-20,HAWKERS CITY,SPRAY BOTTLES,19.99,20,20,399.80,None
 OWP Limpopo,2020-03-20,HYCHEM,SPRAY BOTTLES,28.06,20,20,441.20,None
 OWP Limpopo,2020-06-05,JILOMI EXPRESS PRINTERS CC,FACE MASKS,35.00,142,142,"4,900.00",NONE
 OWP Mpumalanga,2020-03-17,MACARENA CASH AND CARRY,GLOVES EXAMINATION,100.00,3,3,340.00,None
 OWP Mpumalanga,2020-03-18,OVERALL AND GENERAL,GLOVES EXAMINATION,172.50,7,7,1207.50,None
 OWP Mpumalanga,2020-03-18,CASHBUILD,MASKS,69.95,4,4,279.80,None
 OWP Nortern Cape,2020-04-01,Razaanah Toffar,Hand Sanitizers 5l,650.00,5,5 bottles,3250.00,None
 OWP Nortern Cape,2020-03-18,Dis-Chem Kimberley Pharmacy,Hand Sanitizers,29.95,,6 bottles,179.70,None
 OWP Nortern Cape,2020-03-18,Libra Pharmacy,A/Clin Gloves PWD 100 M,107.95,,2 boxes,215.90,None
 OWP Nortern Cape,2020-03-18,Libra Pharmacy,A/Clin Gloves Nitrile Small,148.95,,1 box,148.95,None
 OWP Nortern Cape,2020-03-25,ACL Supplies,Latex Gloves Powder Free,120.00,,10 boxes,1200.00,None
 OWP Nortern Cape,2020-03-25,ACL Supplies,Surgical Face Masks,2000.00,,2 boxes,4000.00,None
 OWP Nortern Cape,2020-03-25,ACL Supplies,Alcohol Hand Sanitizers 5l,780.00,20,20 bottles,15600.00,None
 OWP Nortern Cape,2020-04-29,KC's Kimberley Clothing,Material Face Masks,25.00,42,42 masks,1050.00,None
 OWP North West,2020-04-30,Pienk Pilletjies,Masks - re-useable,25.00,80,80,2000.00,None
 OWP Western Cape,2020-09-04,AFRICAN BRANDS TRADING,3PLY SURGICAL FACE MASKS,28.00,200,200,5600.00,None
 OWP Western Cape,2020-04-16,PICK AND PAY,CLOTH FACIAL MASKS,20.00,200,200,4000.00,None
