buyer_name,supplier_name,bbbee_status,items_description,items_quantity,items_unit,"(f) Average unit
 price","(g) Date of
 applicable
 National
 Treasury price",order_amount_zar,"(i) Turnaround
 time of
 payment"
Legal Aid South Africa, Armani,N/A,3 boxes hand gloves,3 boxes hand gloves,N/A,N/A,N/A,399,30 days
Legal Aid South Africa, Armani,N/A,10 hand sanitisers,10 hand sanitisers,N/A,N/A,N/A,500,30 days
Legal Aid South Africa, Celebration Bar,N/A,11 Masks,11 Masks,N/A,N/A,N/A,220,30 days
Legal Aid South Africa, Celebration Bar,N/A,34 Gloves,34 Gloves,N/A,N/A,N/A,340,30 days
Legal Aid South Africa, Celebration Bar,N/A,33 Masks,33 Masks,N/A,N/A,N/A,660,30 days
Legal Aid South Africa, KMSG managed services group,N/A,1 Bov Masks,1 Bov Masks,N/A,N/A,N/A,347.83,30 days
Legal Aid South Africa, KMSG managed services group,N/A,1 Box Gloves,1 Box Gloves,N/A,N/A,N/A,191.3,30 days
Legal Aid South Africa, Oreilly Mary,N/A,1 X 5L hand sanitiser,1 X 5L hand sanitise,N/A,N/A,N/A,279,30 days
Legal Aid South Africa, Oreilly Mary,N/A,10X 250ml hand sanitisers,10X 250ml hand sa,tNis/eAr s,N/A,N/A,499.9,30 days
Legal Aid South Africa, Northmead Pharmacy,N/A,15 X 500ml empty spray bottles,15 X 500ml empty s,Nra/yA  bottles,N/A,N/A,149.25,30 days
Legal Aid South Africa, Big Jim,N/A,6X 20 Litre water bottles with a taps,6X 20 Litre water bo,tNle/sA with a taps,N/A,N/A,480,30 days
Legal Aid South Africa, DMD,N/A,50 X 250ml,50 X 250ml,N/A,N/A,N/A,2425,30 days
Legal Aid South Africa, Springbok Pharmacy,N/A,4 *2L Antiseptic,4 *2L Antiseptic,N/A,N/A,N/A,319.8,30 days
Legal Aid South Africa, Dischem Pharmacy,N/A,Wipes,Wipes,N/A,N/A,N/A,99.95,30 days
Legal Aid South Africa, Dischem Pharmacy,N/A,2* Hand Sanitiser Gel,2* Hand Sanitiser G,Nl /A,N/A,N/A,179.9,30 days
Legal Aid South Africa, Greenways Pharmacy,N/A,100* Latex Exam Gloves  (Box),100* Latex Exam Gl,Nve/As  (Box),N/A,N/A,150,30 days
Legal Aid South Africa, Bubbles Galore,N/A,3* Emplty Spray Bottles,3* Emplty Spray Bot,lNes/A,N/A,N/A,93,30 days
Legal Aid South Africa, Celebration Bar,N/A,Gloves  (67 Pairs),Gloves  (67 Pairs),N/A,N/A,N/A,670,30 days
Legal Aid South Africa, Celebration Bar,N/A,20* Mask (Each),20* Mask (Each),N/A,N/A,N/A,400,30 days
Legal Aid South Africa, Makro,N/A,4* Hand Sanitiser 300ml,4* Hand Sanitiser 30,Nm/Al,N/A,N/A,131.8,30 days
Legal Aid South Africa, Springbok Pharmacy,N/A,2* Gloves Exam Lates P/F Semper e,2M* eGdl oves Exam Lat,sN /PA/ F Semper ed,Ned/A,N/A,379.9,30 days
Legal Aid South Africa, Springbok Pharmacy,N/A,"Gloves Latex Powder Merca 100"" Lar",Ge loves Latex Powde,"N M/Ae rca 100"" Large",N/A,N/A,112,30 days
Legal Aid South Africa, Springbok Pharmacy,N/A,"5* Gloves 50's ambulance P/Free, M",d5iu* mGloves 50's amb,"lNan/Ace  P/Free, Medi",Nm/A,N/A,690,30 days
Legal Aid South Africa, Homeware and Supermarket,N/A,Dept001- Bottles for sanitisers,Dept001- Bottles for,sNa/nAit isers,N/A,N/A,11,30 days
Legal Aid South Africa, BMC Group,N/A,Hand Rub,Hand Rub,N/A,N/A,N/A,722,30 days
Legal Aid South Africa, Spar Ghandi,N/A,Spar Wipes Bi,Spar Wipes Bi,N/A,N/A,N/A,120.7,30 days
Legal Aid South Africa, Dis-Chem Gandi Square Pharmacy,N/A,Nature Nourishment Liquid Hand Sou,N Gartaupre Nourishment,LNiq/Aui d Hand Soup,Nra/Ape,N/A,69.9,30 days
Legal Aid South Africa, Everlasting Green Cleaning Services,N/A,Reflex- Hand towel,Reflex- Hand towel,N/A,N/A,N/A,304.29,30 days
Legal Aid South Africa, Everlasting Green Cleaning Services,N/A,Reflex- Hand towel,Reflex- Hand towel,N/A,N/A,N/A,304.29,30 days
