buyer_name,implementation_location_province,implementation_location_other,items_description,procurement_method,supplier_name,company_registration_number,"Date of
appointment
(Order date)",award_date,order_amount_zar
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkangala,Thermometer Batteries,"Petty Cash
each branch procured their
own as it was
below R2000","Spar
Saveways",,Jun-20,2020-06-01,100.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkangala,Training for Temp Trainer,"Petty Cash
each branch procured their
own as it was
below R2000","Rally
Business
Consulting",,Jul-20,2020-07-01,552.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkangala,Spraying for Office-July 02,"Petty Cash
each branch procured their
own as it was
below R2000","Lucage
Trading and
Projects",,Jul-20,2020-07-01,1800.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkangala,"Laminating social distancing
stickers","Petty Cash
each branch procured their
own as it was
below R2000","Waltons â€“
Witbank",,Jun-20,2020-06-01,24.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkangala,Thermometer,"Petty Cash
each branch procured their
own as it was
below R2000","Cash and
Carry",,Jul-20,2020-07-01,480.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Deep Cleaning & Disinfecting,RFQ,Lukhaya (SP),,30/04/2020,2020-04-30,5700.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Staff Gloves,"Petty Cash
each branch procured their
own as it was
below R2000","Malelane
Pharmacy",,23/03/2020,2020-03-23,178.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Hand Sanitizer,"Petty Cash
each branch procured their
own as it was
below R2000","Buco
Hardware",,25/03/2020,2020-03-25,99.90
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Duct Tape,"Petty Cash
each branch procured their
own as it was
below R2000","Buco
Hardware",,20/05/2020,2020-05-20,73.99
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Protective Screens & Signs,"Petty Cash
each branch procured their
own as it was
below R2000","Phambili
Plastic &
Lowveld
Signs",,20/05/2020,2020-05-20,685.90
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Thermometer Batteries,"Petty Cash
each branch procured their
own as it was
below R2000","Spar
Malelane",,01/06/2020,2020-06-01,93.80
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Face Shield & Dust Clothes,"Petty Cash
each branch procured their
own as it was
below R2000","Rotunda
Circle
Pharmacy",,03/06/2020,2020-06-03,442.40
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Staff Face Mask,"Petty Cash
each branch procured their
own as it was
below R2000","Uncle City
Tailor",,11/06/2020,2020-06-11,300.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Hand Sanitizer,"Petty Cash
each branch procured their
own as it was
below R2000","Rotunda
Circle
Pharmacy",,11/06/2020,2020-06-11,357.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Staff Sanitizer Bottles,"Petty Cash
each branch procured their
own as it was
below R2000","Dream Lucky
Trading",,17/06/2020,2020-06-17,108.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Cov- 19 Distance Stickers,"Petty Cash
each branch procured their
own as it was
below R2000",Classic Signs,,26/06/2020,2020-06-26,1300.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Sanitizer stand,"Petty Cash
each branch procured their
own as it was
below R2000",Valencia,,30/06/2020,2020-06-30,699.99
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Deep Cleaning & Disinfecting,RFQ,Lukhaya (SP),,30/04/2020,2020-04-30,5700.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Staff Gloves,"Petty Cash
each branch procured their
own as it was
below R2000","Malelane
Pharmacy",,23/03/2020,2020-03-23,178.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Nkomazi,Hand Sanitizer,"Petty Cash
each branch procured their
own as it was
below R2000","Buco
Hardware",,25/03/2020,2020-03-25,99.90
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Bushbuckridge,Floor markings and installations,"Petty Cash
each branch procured their
own as it was
below R2000",Classic signs,,,,
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Bushbuckridge,Training for Screeners * 3,"Petty Cash
each branch procured their
own as it was
below R2000","Rally
Business
Consulting",,"25 June
2020",,1300.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Bushbuckridge,Reception Screen,"Petty Cash
each branch procured their
own as it was
below R2000",Petty Cash,,01-Jun-20,2020-06-01,1656.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Bushbuckridge,Face shields and Spray bottle,"Petty Cash
each branch procured their
own as it was
below R2000",Buco,,,,
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Bushbuckridge,Floor markings and installations,"Petty Cash
each branch procured their
own as it was
below R2000",Classic signs,,05-Jun-20,2020-06-05,300.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Bushbuckridge,Training for Screeners * 3,"Petty Cash
each branch procured their
own as it was
below R2000","Rally
Business
Consulting",,"25 June
2020","25 June
2020",1300.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Hand Sanitizer,"Petty Cash
each branch procured their
own as it was
below R2000","Waltons
Bidvest",N/A,25/05/2020,2020-05-25,78.50
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Hand soap,"Petty Cash
each branch procured their
own as it was
below R2000",Spar,N/A,25/05/2020,2020-05-25,94.80
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Marking Tape,"Petty Cash
each branch procured their
own as it was
below R2000","Waltons
Bidvest",N/A,22/05/2020,2020-05-22,128.94
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Desk Protective Screens,"Petty Cash
each branch procured their
own as it was
below R2000","Crystalite
Plastics",N/A,20/05/2020,2020-05-20,364.55
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Thermometer Batteries,"Petty Cash
each branch procured their
own as it was
below R2000","Spar
Nelspruit &
Pick a Pay",N/A,27/05/2020,2020-05-27,86.90
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Face Shield,"Petty Cash
each branch procured their
own as it was
below R2000","Waltonâ€™s
Nelspruit",N/A,02/06/2020,2020-06-02,149.99
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Disinfectant wipes,"Petty Cash
each branch procured their
own as it was
below R2000",Buco,N/A,01/06/2020,2020-06-01,195.90
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Staff Cloth Face Masks,"Petty Cash
each branch procured their
own as it was
below R2000","UGT
Industrial
Work ware
Nelspruit",N/A,02/06/2020,2020-06-02,260.87
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Staff Cloth Face Masks,"Petty Cash
each branch procured their
own as it was
below R2000","UGT
Industrial
Work ware
Nelspruit",N/A,04/06/2020,2020-06-04,156.52
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Face Shield,"Petty Cash
each branch procured their
own as it was
below R2000","Waltonâ€™s
Nelspruit",N/A,04/06/2020,2020-06-04,200.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Face Shield,"Petty Cash
each branch procured their
own as it was
below R2000","Mopani
Pharmacy",N/A,12/06/2020,2020-06-12,210.70
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Face Masks,"Petty Cash
each branch procured their
own as it was
below R2000","UGT
Industrial
Work ware
Nelspruit",N/A,12/06/2020,2020-06-12,195.60
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Sanitizer stand,"Petty Cash
each branch procured their
own as it was
below R2000",Valencia,N/A,12/06/2020,2020-06-12,700.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Ehlanzeni,Screener Trainer,"Petty Cash
each branch procured their
own as it was
below R2000","Rally
Business
Consulting",2009/024030/07,12/06/2020,2020-06-12,1104.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Hand Sanitizer,"Petty Cash
each branch procured their
own as it was
below R2000","Every
Sunrise",2013/110016/07,25/03/2020,2020-03-25,2000.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Disinfectors,"Petty Cash
each branch procured their
own as it was
below R2000","Builders
warehouse",2004/035206/07,19/03/2020,2020-03-19,376.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Reception Screen,"Petty Cash
each branch procured their
own as it was
below R2000","Crystallite
Plastic",2009/228022/23,25/05/2020,2020-05-25,364.55
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Duct Tape,"Petty Cash
each branch procured their
own as it was
below R2000",PNA,2015/084365/07,28/05/2020,2020-05-28,95.99
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Measuring Tape,"Petty Cash
each branch procured their
own as it was
below R2000",Shoprite,1929/001817/07,29/05/2020,2020-05-29,19.99
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,COVID Screen Training,"Petty Cash
each branch procured their
own as it was
below R2000","Rally
Business",2009/024030/07,01/06/2020,2020-06-01,1104.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Thermometer Batteries,"Petty Cash
each branch procured their
own as it was
below R2000",Pick N Pay,2015/084205/07,30/06/2020,2020-06-30,16.90
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Purchase Of Face Mark,"Petty Cash
each branch procured their
own as it was
below R2000","UGT
Industrial
Workwear",2007/016782/23,01/06/2020,2020-06-01,480.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Purchase Of Plastic Bottle,"Petty Cash
each branch procured their
own as it was
below R2000","Michem
Cleaning
Supplies",2001/061662/23,01/06/2020,2020-06-01,306.19
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Mpumalanga,Prov. Office,Foot Operator Stand,"Petty Cash
each branch procured their
own as it was
below R2000","Home
Modernity",,02/06/2020,2020-06-02,700.00
