TABLE,NAME OF SERVICE PROVIDER (S),CSD NUMBER,B-BBEE status level of contributor,Award Amount
SCMQ 09/2020 CLOTH MASK,Ruby Gold,MAAA0515708,1,"R375,000.00"
SCMQ 09/2020 CLOTH MASK,Mamello (Pty) LTD,MAAA0782851,1,"R100,000.00"
SCMQ 09/2020 CLOTH MASK,Fredock Trading,MAAA0089762,4,"R5,100,000.00"
SCMQ 09/2020 CLOTH MASK,Platinum Radinace,MAAA0470834,1,"R1,000,000.00"
SCMQ 09/2020 CLOTH MASK,Visannah Designing Studio and General Trading,MAAA0316096,1,"R540,000.00"
SCMQ 09/2020 CLOTH MASK,MTAI Developers (PTY)LTD,MAAA0398135,1,"R1,800,000.00"
SCMQ 09/2020 CLOTH MASK,BCAS Solutions,MAAA0706547,1,"R1,800,000.00"
SCMQ 09/2020 CLOTH MASK,Arnoldbling Trading (PTY)LTD,MAAA0395055,1,"R400,000.00"
SCMQ 09/2020 CLOTH MASK,Candy's Unlimited,MAAA0168015,1,"R2,000,000.00"
SCMQ 09/2020 CLOTH MASK,Tauhadi Trading Pty(Ltd),MAAA0397598,1,"R1,600,000.00"
SCMQ 09/2020 CLOTH MASK,"Setlhare SA Bophelo Healing Power Miracle Gift",MAAA0467927,1,R125 000.00
SCMQ 09/2020 CLOTH MASK,Halcyon Import & Export,MAAA0418515,1,R1 250 000.00
SCMQ 09/2020 CLOTH MASK,The Look,M AAA0766127,1,R600 000.00
SCMQ 09/2020 CLOTH MASK,"Hamisa Safety Equipment Supplies Pty Ltd",MAAA0530215,1,R2 500 000.00
SCMQ 09/2020 CLOTH MASK,Shift Consultation Pty Ltd,MAAA0492462,1,R750 000.00
SCMQ 09/2020 CLOTH MASK,Born Again 345 Pty Ltd,MAAA0858416,1,R1 800 000.00
