buyer_name,supplier_name,items_description,order_amount_zar,items_quantity
Department of Defence (DoD), SIS ENTERTAINMENT,Masks: Medical,34460.00,10
Department of Defence (DoD), Slager Enterprise,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Sothami Projects and Trading,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Spekepeke Trading (Pty) Ltd,Surgical Gloves,716000.00,2 000
Department of Defence (DoD), Stan Consolidated Supplies,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Star Finder Properties cc,Masks: Surgical,450000.00,15 000
Department of Defence (DoD), SUPRA HEALTHCARE JOHANNESBURG,Masks: Medical,975000.00,65
Department of Defence (DoD), SUPRA HEALTHCARE JOHANNESBURG,Masks: Surgical,971750.00,2 600
Department of Defence (DoD), SUPRA HEALTHCARE JOHANNESBURG,Protective Clothing,307050.00,3 300
Department of Defence (DoD), T MAC MEDICAL,Masks: Surgical,894000.00,60 000
Department of Defence (DoD), TAILOR MADE GROUP OF COMPANY,Surgical Gloves,737500.00,2500
Department of Defence (DoD), TARA TECHNOLOGIES,Sanitisers,492500.00,5 000
Department of Defence (DoD), TEMRO GROUP (PTY) LTD,Masks: Surgical,762000.00,60000
Department of Defence (DoD), Thamsie Siphiwe Trading cc,Masks: Surgical,500000.00,20000
Department of Defence (DoD), Thando and Tselane Trading,Masks: Surgical,510000.00,20 000
Department of Defence (DoD), THE BRAVEST TRADING ENTERPRISE (PTY)LTD,Surgical Gloves,937500.00,2500
Department of Defence (DoD), THE DENTAL WAREHOUSE,Masks: Surgical,12366.00,70
Department of Defence (DoD), THE DENTAL WAREHOUSE,Protective Clothing,19746.00,300
Department of Defence (DoD), THE HELP COMPANY,Masks: Surgical,894000.00,60000
Department of Defence (DoD), The Mat Group,Masks: Surgical,1020000.00,40000
Department of Defence (DoD), THE MAT GROUP (PTY) LTD,Masks: Surgical,744000.00,60000
Department of Defence (DoD), Thoblicians,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Tiisetso Tsotetsi,Surgical Gloves,504000.00,1400
Department of Defence (DoD), Tiiso Holdings,Sanitisers,89700.00,1150
Department of Defence (DoD), Tiiso Holdings,Surgical Gloves,39520.00,104
Department of Defence (DoD), Tintholo,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Tintholo,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Tintswalo Security and Projects,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Tiyeka Media,Masks: Surgical,500000.00,20000
Department of Defence (DoD),TK JOY 20 (PTY) LTD,Masks: Surgical,530000.00,20000
Department of Defence (DoD),TK JOY 20 (PTY) LTD,Surgical Gloves,1035000.00,3 000
Department of Defence (DoD), TK SN trading and Projects,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Tihapaneng Trading,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), TLHAPI ZIZI (PTY) LTD,Surgical Gloves,777000.00,60 000
Department of Defence (DoD), Tloloki Trading,Masks: Surgical,1500000.00,50 000
Department of Defence (DoD), Tloloki Trading,Surgical Gloves,1460000.00,4000
Department of Defence (DoD), TM Tiyeka Media,Masks: Surgical,500000.00,20 000
Department of Defence (DoD), TPR Holdings,Masks: Surgical,123000.00,10000
Department of Defence (DoD), TR Group (Pty) Ltd,Masks: Surgical,1337038.00,85 443
Department of Defence (DoD), Traros (Pty) Ltd,Masks: Surgical,1300000.00,50000
Department of Defence (DoD), TS Entity Pty Ltd,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Tsakzo Trading,Masks: Surgical,625000.00,50000
Department of Defence (DoD), Tsana MPK Trading,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Tshenolo Waste,Masks: Surgical,500000.00,20000
Department of Defence (DoD), TTM TRADING AND PROJECTS,Sanitisers,276000.00,3 000
Department of Defence (DoD), TTM TRADING AND PROJECTS,Surgical Gloves,2487180.00,6 737
Department of Defence (DoD), Tutone Communications,Sanitisers,5000680.00,63 020
Department of Defence (DoD), UMNDENI MEDICAL CC,Masks: Medical,84784.00,7500
Department of Defence (DoD), UMNDENI MEDICAL CC,Masks: Oxygen,79288.00,6 750
Department of Defence (DoD), UMNDENI MEDICAL CC,Masks: Surgical,98131.00,9500
Department of Defence (DoD), Umohlobo IT Projects,Masks: Surgical,1000000.00,40000
Department of Defence (DoD),UNITRADE 1032,Protective Clothing,264600.00,14700
Department of Defence (DoD), Unomhlobo IT Projects,Masks: Surgical,1635000.00,90000
Department of Defence (DoD), Urban City Projects,Masks: Surgical,460000.00,20 000
Department of Defence (DoD), VELEPA TRADING CC,Masks: Surgical,777000.00,60 000
Department of Defence (DoD), VELEPA TRADING CC,Protective Clothing,2760000.00,5 750
Department of Defence (DoD), Velvel and Solutions,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Vhoyo,Surgical Gloves,710000.00,2000
Department of Defence (DoD), Vhusa Group (Pty) Ltd,Masks: Surgical,480000.00,20 000
Department of Defence (DoD), Vhuthu Pty (Ltd),Masks: Surgical,2522000.00,150000
Department of Defence (DoD), Vhuthu Pty (Ltd),Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Vhuyo Consulting,Masks: Surgical,1672000.00,110000
Department of Defence (DoD), Vhuyo Consulting,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Vibrant Medical Supplies,Empty Bottles,117504.00,3 962
Department of Defence (DoD), Vibrant Medical Supplies,Masks: Surgical,550000.00,21 000
Department of Defence (DoD), Vibrant Medical Supplies,Surgical Gloves,818600.00,2 320
Department of Defence (DoD), Vibtech Trading and projects (Pty) Ltd,Masks: Surgical,1040000.00,40000
Department of Defence (DoD), VISCASPAN (PTY) LTD,Masks: Surgical,993000.00,70000
Department of Defence (DoD), VITAL LIFE MEDICAL DISTRIBUTOR,Sanitisers,12508.00,117
Department of Defence (DoD), Vulombe Trading Enterprise (Pty) Ltd,Masks: Surgical,3000000.00,120000
Department of Defence (DoD), Vumi Enterprise,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Vunwe Consulting,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), VUWA OCCUPATIONAL SAFETY & PROJECTS,Masks: Surgical,900000.00,60 000
Department of Defence (DoD), Walunga (Pty) Ltd (S & T Excellent trading),Masks: Surgical,1020000.00,40000
Department of Defence (DoD), Wesunni Trading Enterprise,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), WISEWEALTH,Masks: Surgical,750000.00,60000
Department of Defence (DoD),WORLD FOCUS 1186 GENERAL TRADING,Masks: Surgical,777000.00,60000
Department of Defence (DoD), Xhumana Trading and Business Solutions,Masks: Surgical,49600000.00,4000000
Department of Defence (DoD), Xhumana Trading and Business Solutions,Nitrile Gloves,7600000.00,20 000
Department of Defence (DoD), XIHLONGA (PTY) LTD,Masks: Surgical,747000.00,60000
Department of Defence (DoD), Xpand Business Enterprise Pty Ltd,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Y & P Logistics,Masks: Surgical,1554000.00,60000
Department of Defence (DoD), Y & P Logistics,Surgical Gloves,3157500.00,8 500
Department of Defence (DoD), Ya Madoda Ayi Pheli Trading Enterprise,Masks: Surgical,1263000.00,80000
Department of Defence (DoD), Ya Madoda Ayi Pheli Trading Enterprise,Surgical Gloves,760000.00,2 000
Department of Defence (DoD),YBX 310 Holdings,Surgical Gloves,1520000.00,4000
Department of Defence (DoD), Zakheni Strategic Supplies,Masks: Surgical,51411000.00,4100000
Department of Defence (DoD), Zakheni Strategic Supplies,Nitrile Gloves,7600000.00,20 000
Department of Defence (DoD), ZIBULO PROJECTS,Masks: Surgical,750000.00,60 000
Department of Defence (DoD), Ziyeka Engineering (Pty) Ltd,Sanitisers,80000.00,1000
