buyer_name,supplier_name,items_description,order_amount_zar,items_quantity
Department of Defence (DoD),HMW003 TRADING AND PROJECTS,Masks: Surgical,780000.00,60000
Department of Defence (DoD), Hunadi and Monare Trading cc,Masks: Surgical,1125000.00,50 000
Department of Defence (DoD), HWK SUPPLY AND PROJECTS,Masks: Surgical,1050000.00,60 000
Department of Defence (DoD), Iconsult and Projects,Masks: Surgical,625000.00,50 000
Department of Defence (DoD), IDNAS FORENSICS (PTY) LTD,Masks: Surgical,1934000.00,100000
Department of Defence (DoD), IDNAS FORENSICS (PTY) LTD,Surgical Gloves,1520000.00,4000
Department of Defence (DoD), IKO Trading and Projects,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), IKO Trading and Projects,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Imonti Tours,Masks: Surgical,1457500.00,50000
Department of Defence (DoD), Imperatriz (Pty) Ltd,Masks: Surgical,992500.00,50 000
Department of Defence (DoD), Insika Foundation,Masks: Surgical,6514600.00,286000
Department of Defence (DoD), Insika Foundation,Hand Scanners,3465000.00,1000
Department of Defence (DoD), Intellectual Rest,Surgical Gloves,746496.00,2100
Department of Defence (DoD), IVUKOSI,Masks: Surgical,894000.00,60000
Department of Defence (DoD), Jakes ans Sons Holdings,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Janicol,Masks: Surgical,795000.00,30 000
Department of Defence (DoD), JC OFFICE SUPPLIES CC,Masks: Surgical,7950000.00,120000
Department of Defence (DoD), Jenesis Trading,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Jin Production and Events Management,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), K & J Endeavour,Masks: Surgical,1120000.00,40000
Department of Defence (DoD), Kamoge Dion Trading,Masks: Surgical,123000.00,10000
Department of Defence (DoD), KANYANE & MOKGOSHI,Masks: Surgical,870000.00,60 000
Department of Defence (DoD), Katshimong Pty Ltd,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), KD Neo,Masks: Surgical,123000.00,10000
Department of Defence (DoD), KEINGTON TRADING ENTERPRISE (PTY) LTD,Masks: Surgical,771600.00,60 000
Department of Defence (DoD), Kevcon Projects,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Kgoadi Moeketsane Engineering,Surgical Gloves,545400.00,1515
Department of Defence (DoD), KGOHLWEDI,Surgical Gloves,39323.00,48
Department of Defence (DoD), Kgorosh Investment cc,Masks: Surgical,500000.00,20 000
Department of Defence (DoD), Kgoroyabohle Trading,Masks: Surgical,1920000.00,80 000
Department of Defence (DoD), KHAITSE MEDICALS SUPPLIERS,Surgical Gloves,3348.00,20
Department of Defence (DoD), KHANYENG TRADING AND PROJECTS,Protective Clothing,91000.00,70000
Department of Defence (DoD), Khathavahle Trading and Projects,Surgical Gloves,950000.00,2500
Department of Defence (DoD), KHN,Sanitisers,170000.00,2 000
Department of Defence (DoD), KLK Projects,Masks: Surgical,538000.00,20 000
Department of Defence (DoD), Kompese Trading Enterprise,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Kompese Trading Enterprise,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Kravisize,Sanitisers,3000004.00,37 812
Department of Defence (DoD), KRG Holdings,Surgical Gloves,795000.00,2100
Department of Defence (DoD), KTN DEVELOPMENT,Masks: Surgical,1080000.00,60 000
Department of Defence (DoD), Kutlwano Ya Lebogo Trading & Projects,Masks: Surgical,1590000.00,60 000
Department of Defence (DoD), Kwena Lesedi Trading and Projects,Masks: Surgical,510000.00,20 000
Department of Defence (DoD),LABOHLANO TRADING 108,Masks: Surgical,777000.00,60 000
Department of Defence (DoD), LABSTYRES (PTY) LTD,Masks: Surgical,893550.00,60000
Department of Defence (DoD), LADY M TRAVELLING AGENCY,Masks: Surgical,972000.00,60000
Department of Defence (DoD), Langalibalele General Trading,Masks: Surgical,750000.00,60 000
Department of Defence (DoD), Langalibalele General Trading,Surgical Gloves,69900.00,200
Department of Defence (DoD), LASEC SA,Surgical Gloves,62077.00,450
Department of Defence (DoD), Le Boon Supply cc,Masks: Surgical,1250000.00,100000
Department of Defence (DoD), Leano Consotium,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Lebrac Innovative Logic,Surgical Gloves,716000.00,2 000
Department of Defence (DoD), LECHOBA MEDICAL TECHNOLOGIES,Protective Clothing,2629360.00,10000
Department of Defence (DoD), LECHOBA MEDICAL TECHNOLOGIES,Sanitisers,1480000.00,40000
Department of Defence (DoD), Leemash Catering,Masks: Surgical,1315000.00,50 000
Department of Defence (DoD), Lehumo Technologies,Masks: Surgical,59000.00,2 360
Department of Defence (DoD), LEKGAMAKGADI (PTY) LTD,Masks: Surgical,894000.00,60000
Department of Defence (DoD), Leo Fluelogististix (Pty) Ltd,Empty Bottles,7500.00,500
Department of Defence (DoD), Lepeke Medical Suppliers Pty Ltd,Masks: Surgical,530000.00,20 000
Department of Defence (DoD), Lerato and Moloko Event Management,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Lesole Facilities Management (Pty) Ltd,Masks: Surgical,975000.00,50 000
Department of Defence (DoD), Letlhakele Trading and Projects,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), LETSEPE MEDICAL SERVICES,Masks: Surgical,1020000.00,60000
Department of Defence (DoD), LIFE STYLE PROPERTIES,Masks: Surgical,885000.00,60000
Department of Defence (DoD), LIORA MEDICAL SUPPLIES,Masks: Medical,2118600.00,3 600
Department of Defence (DoD), LIORA MEDICAL SUPPLIES,Masks: Surgical,224700.00,42 000
Department of Defence (DoD), Liquids,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), LN ENGINEERING AND SUPPLY,Masks: Surgical,889200.00,60 000
Department of Defence (DoD), LOGAN MEDICAL SURGICAL CC,Protective Clothing,506650.00,26000
Department of Defence (DoD), LOVE DIDI M,Masks: Surgical,894000.00,60 000
Department of Defence (DoD), Lungolwakho Trading and Enterprise,Masks: Surgical,519000.00,20 000
Department of Defence (DoD), Luthanya Business Enterprise cc,Masks: Surgical,2088000.00,100000
Department of Defence (DoD), Luthanya Business Enterprise cc,Surgical Gloves,1472000.00,4000
Department of Defence (DoD), LUYANDUHLANGA,Masks: Surgical,750000.00,60000
Department of Defence (DoD), Maatla Concrete Products,Masks: Surgical,1040000.00,40000
Department of Defence (DoD), Maatla Concrete Products,Surgical Gloves,716000.00,2 000
Department of Defence (DoD), MABA AFRICA,Protective Clothing,1976171.00,8 409
Department of Defence (DoD), MABA AFRICA,Sanitisers,1271702.00,51400
Department of Defence (DoD), MABASA TRADING CC,Masks: Surgical,777000.00,60 000
Department of Defence (DoD), MABASA TRADING CC,Surgical Gloves,1476000.00,4000
Department of Defence (DoD), MADENDELE CONSULTING,Masks: Surgical,777000.00,60000
Department of Defence (DoD), Maduma Go Tlola Trading Enterprise,Surgical Gloves,304000.00,800
Department of Defence (DoD), Madzunika Trading and IT Solutions,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MAHLATSI CONSTRUCTION & PROJECTS,Masks: Surgical,894000.00,60000
Department of Defence (DoD), Majodina Group (Pty) Ltd,Sanitisers,7935.00,100
Department of Defence (DoD), Majodina Group (Pty) Ltd,Surgical Gloves,684917.00,1940
Department of Defence (DoD), Malalu Construction,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Malude Industries,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Malyim Pty Ltd,Masks: Surgical,795000.00,30000
Department of Defence (DoD), Mamasai Trading Enterprise,Masks: Surgical,1495000.00,79000
Department of Defence (DoD), Mamasai Trading Enterprise,Surgical Gloves,756000.00,2 000
Department of Defence (DoD), Mamoratwa Enterprise Bookshop,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), MANAKELLY (PTY) LTD,Masks: Surgical,774000.00,60000
Department of Defence (DoD), MANCHAP PROPERTIES AND PROJECTS,Masks: Surgical,882000.00,60000
Department of Defence (DoD), MANDLAKOMOYA TRADING AND PROJECTS,Masks: Surgical,777000.00,60000
Department of Defence (DoD), Manyonyo Projects Enterprice (Beetse),Masks: Surgical,4503944.00,200800
Department of Defence (DoD), Maps in Transaction (Pty) Ltd,Masks: Surgical,300000.00,10 000
Department of Defence (DoD), Maps in Transaction (Pty) Ltd,Surgical Gloves,38000.00,100
Department of Defence (DoD), Mapunya Trading,Surgical Gloves,570000.00,1500
Department of Defence (DoD), Martha and Sons Trading and Projects,Masks: Surgical,2106000.00,100000
Department of Defence (DoD), Martha and Sons Trading and Projects,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Mashishane Business Enterprise,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Mavuba Legacy,Masks: Surgical,37200000.00,3000000
Department of Defence (DoD), Mawika Trading and Projects,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Maxisana Trading cc,Masks: Surgical,530000.00,20 000
Department of Defence (DoD), Mbanga Trading Enterprise,Masks: Surgical,1000000.00,50 000
Department of Defence (DoD), Mbeu Properties,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MBV Corporations (Pty) Ltd,Masks: Surgical,500000.00,20 000
Department of Defence (DoD), MDZ Fleet Solutions,Masks: Surgical,75000.00,2500
Department of Defence (DoD), MDZ Holdings,Sanitisers,601600.00,3 100
Department of Defence (DoD), Mechanir,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), MEDICAL INTERNATIONAL ORTHOPAE,Protective Clothing,218837.00,11380
Department of Defence (DoD), MEDTEX,Surgical Gloves,128640.00,3 000
Department of Defence (DoD), MENLYVERT,Masks: Surgical,1079400.00,60 000
Department of Defence (DoD), Mercy Seat Projects,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Mgigade Holdings (Pty) Ltd,Masks: Surgical,510000.00,20 000
Department of Defence (DoD), MIA and PK Trading Projects (Pty) Ltd,Masks: Surgical,520000.00,20 000
