TYPE OF SERVICE,ORDER NO,DATE,AMOUNT,SUPPLIER NAME
COM:RADIO & TV TRANSMISSIONS,OR-092464,2020-06-19,16000.00,GOOD NEWS COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092541,2020-06-19,16000.00,IMPACT RADIO COMMERCIAL
COM:RADIO & TV TRANSMISSIONS,OR-092506,2020-06-19,16000.00,MMABATHO FM 107.7 MHZ
COM:RADIO & TV TRANSMISSIONS,OR-092478,2020-06-19,16000.00,INDONSAKUSA COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092479,2020-06-19,16000.00,1ISAJONISI YOUTH RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092502,2020-06-19,16000.00,CHRISTEN NETWERK MEDIA
COM:RADIO & TV TRANSMISSIONS,OR-092463,2020-06-19,16000.00,BUSHBUCKRIDGE COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092525,2020-06-25,16000.00,WHALE COAST FM
COM:RADIO & TV TRANSMISSIONS,OR-092516,2020-06-25,16000.00,MASIBAMBISANENI TSHWARANANG
COM:RADIO & TV TRANSMISSIONS,OR-092493,2020-06-25,16000.00,RISE FM
COM:RADIO & TV TRANSMISSIONS,OR-092491,2020-06-25,16000.00,EASTWAVE RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092482,2020-06-25,16000.00,LUKHANJI COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092234,2020-06-19,6000.00,NONGOMA FM
COM:RADIO & TV TRANSMISSIONS,OR-092238,2020-06-23,6000.00,UGU YOUTH RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092237,2020-06-23,6000.00,INDONSAKUSA COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092638,2020-07-20,16000.00,VAALTAR FM COMMUNITY RADIO STATIO
COM:RADIO & TV TRANSMISSIONS,OR-092860,2020-07-30,16000.00,VAAL UNIN OF TECHNOLOGY
COM:RADIO & TV TRANSMISSIONS,OR-092807,2020-07-20,6000.00,NQUBEKO COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092805,30/07/2020 30/07/2020 30/07/2020 30/07/2020 08/06/2020 08/06/2020 08/06/2020 09/06/2020 09/06/2020 03/06/2020 30/07/2020 30/07/2020 11/06/2020,6000.00,INTOKOZO FM
COM:RADIO & TV TRANSMISSIONS,OR-092809,2020-07-30,6070.68,MAPUTALAND COMM RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092842,2020-07-30,3500.00,UKHAHLAMBA COMM RADI
COM:RADIO & TV TRANSMISSIONS,OR-092808,2020-07-30,6000.00,RISE COMM RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092840,2020-07-30,6000.00,VIBE FM
COM:RADIO & TV TRANSMISSIONS,OR-092237,2020-07-30,6000.00,INDONSAKUSA COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092017,2020-06-08,4215284.18,SOUTH AFRICAN BROADCASTING CORPOR
COM:RADIO & TV TRANSMISSIONS,OR-092013,2020-06-08,449992.06,MEDIAMARK
COM:RADIO & TV TRANSMISSIONS,OR-092013,2020-06-08,336085.11,MEDIAMARK
COM:RADIO & TV TRANSMISSIONS,OR-092013,2020-06-09,449994.66,MEDIAMARK
COM:RADIO & TV TRANSMISSIONS,OR-092013,2020-06-09,368460.03,MEDIAMARK
COM:RADIO & TV TRANSMISSIONS,OR-092013,2020-06-11,438632.84,MEDIAMARK
COM:RADIO & TV TRANSMISSIONS,OR-092517,2020-06-03,16000.00,LEKOA MULTHI -MEDIA & COMM
COM:RADIO & TV TRANSMISSIONS,OR-092522,2020-06-09,16000.00,PHELI FM
COM:RADIO & TV TRANSMISSIONS,OR-092501,2020-06-09,16000.00,MADIBOGO COMMUNITY RADIO STATION
COM:RADIO & TV TRANSMISSIONS,OR-092465,2020-06-09,16000.00,MOUTSE COMMUNITY RADIO STATION
COM:RADIO & TV TRANSMISSIONS,OR-092462,2020-06-09,16000.00,MODIRI FM
COM:RADIO & TV TRANSMISSIONS,OR-092466,2020-06-09,16000.00,VOICE OF HOPE 1ZW
COM:RAD!O & TV TRANSMISSIONS,OR-092467,2020-06-09,16000.00,LINK FM 97.1
COM:RADIO & TV TRANSMISSIONS,OR-092456,2020-06-09,16000.00,BODUMEDI FM
COM:RADIO & TV TRANSMISSIONS,OR-092471,2020-06-09,16000.00,WILD COAST 98 6 FM
COM:RADIO & TV TRANSMISSIONS,OR-092494,2020-06-15,16000.00,VAAL COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092470,2020-06-18,16000.00,KGATLENG COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092527,2020-06-19,16000.00,ALFRED NZO COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092243,2020-06-04,6000.00,NQUBEKO COMMUNITY RADIO
CONS HOUS SUP:DIS PAPER/PLAST,OR-092715,2020-06-25,24610.00,FORTISTLE
CONS HOUS SUP:DIS PAPER/PLAST,OR-092774,2020-07-06,8500.00,INDALOYAKHE
CONS HOUS SUP:DIS PAPER/PLAST,OR-091884,2020-04-23,24626.28,HENRY SCHEIN DENTAL WAREHOUSE
CONS HOUS SUP:DIS PAPER/PLAST,OR-092176,2020-04-29,78096.68,BIOLOGICA PHARMACENTICALS
CONS HOUS SUP:DIS PAPER/PLAST,OR-092437,2020-05-15,13745.34,MOTLA INVESTEMENTS
CONS HOUS SUP:DIS PAPER/PLAST,OR-092437,2020-05-15,10000.00,MOTLA INVESTEMENTS
CONS HOUS SUP:DIS PAPER/PLAST,OR-092443,2020-05-28,50000.00,EKHAYA INVESTMENTS
CONS HOUS SUP:DIS PAPER/PLAST,OR-092800,2020-07-06,15055.00,FAITH WORKS CONSTRUCTION AND PROJ
CONS HOUS SUP:WASH/CLEAN DETE,OR-092374,2020-05-20,53900.00,PACAS CREATIONS
CONS:MEDICAL KIT,OR-092468,2020-06-25,9495.00,BK INK 1167
CONTRCTR:UPGR&ADD BUL,OR-092773,2020-07-06,183080.00,GROWTH POINT ENGINEERING CORPORAT
CONTRCTR:UPGR&ADD BUL,OR-092821,2020-07-30,4115.16,IRM GROUP
CONTRCTR:UPGR&ADD BUL,OR-092475,2020-06-03,359130.00,YNK HOLDINGS
EXT COMP SER:SFT LCN:SCURT SOFT ,OR-092177,2020-04-29,8785.83,BUNTU TECHNOLOGY
O/P:PRINTING&PUBLICATIONS SERV,OR-091860,2020-05-29,29990.85,JETVEST
P/P:CLEANING SERVICES,OR-092469,2020-06-25,1834.25,FIZNEF TRADING
P/P:CLEANING SERVICES,OR-092660,2020-07-30,800.00,MAJESTIC 125 TRADING
